Node 1 Name,Node 1 Tissue,Node 2 Name,Node 2 Tissue,edge_dir
Vmp1,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,-1
Zfp1007,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Gtpbp4,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Wbp11,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Wbp11,Choroid Plexus,L-Aspartic acid,Feces,1
Wbp11,Choroid Plexus,Methylsuccinic acid,Feces,1
Ibtk,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Ctdspl2,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Srebf2,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,-1
Gpaa1,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,-1
Ap3b1,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Rhob,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,-1
Pi4ka,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,-1
Pbx1,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Tulp4,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Vps13b,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Setx,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Pja2,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Dync1h1,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,-1
Tceal8,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Vps36,Choroid Plexus,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,1
Ibtk,Choroid Plexus,L-Aspartic acid,Feces,1
Ctdspl2,Choroid Plexus,L-Aspartic acid,Feces,1
Kcmf1,Choroid Plexus,L-Aspartic acid,Feces,1
Cep78,Choroid Plexus,L-Aspartic acid,Feces,1
Ibtk,Choroid Plexus,Methylsuccinic acid,Feces,1
Apc2,Choroid Plexus,Methylsuccinic acid,Feces,-1
Mtpn,Choroid Plexus,Methylsuccinic acid,Feces,1
Pthlh,Choroid Plexus,Methylsuccinic acid,Feces,1
Serpinb8,Choroid Plexus,Methylsuccinic acid,Feces,1
Plgrkt,Choroid Plexus,2-Pyrrolidinone,Feces,1
