cpx_gene,pls_metabolite,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000021709-P,Azelaic acid,0.5,0.6666666666666667,3,1.0,0.0,3,0.7247137945655605,0.1032428046237076,6,0.6245652481820285,0.0299241905885928,12,3,True,+,0.2760633497084286
ENSMUSG00000105302-P,Azelaic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.2319084142609793,0.6583735712609271,6,0.3964936687897147,0.2019420869767513,12,3,True,+,0.4581464098505458
ENSMUSG00000038058-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.2029198624783569,0.699797968157019,6,-0.7754433699338666,0.0030410933690381,12,3,True,-,0.1760551462064087
ENSMUSG00000026096-P,Azelaic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.2608969660436018,0.6175338174259972,6,0.196492437630301,0.5404881628848959,12,3,True,+,0.6933994618261721
ENSMUSG00000023764-P,Azelaic acid,-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.2029198624783569,0.699797968157019,6,-0.3859672882023771,0.2152708297665815,12,3,True,-,0.4668776157994654
ENSMUSG00000064340-P,Azelaic acid,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.0579771035652448,0.9131317851623264,6,-0.2000012311594136,0.533132786647023,12,3,True,-,0.6882403328621918
ENSMUSG00000057440-P,Azelaic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.9276336570439174,0.0076658441874731,6,0.1508781217518383,0.6397398196020827,12,3,True,+,0.7565689998732051
ENSMUSG00000030616-P,Azelaic acid,0.5,0.6666666666666667,3,1.0,0.0,3,0.6957252427829381,0.124789337440287,6,0.5087750617213154,0.0911807984177607,12,3,True,+,0.35929107019734813
ENSMUSG00000066595-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.1739313106957345,0.7417339277316277,6,-0.5754421387744533,0.0502659036830272,12,3,True,-,0.3096659273244755
ENSMUSG00000046714-P,Azelaic acid,1.0,0.0,3,1.0,0.0,3,0.4928053803045812,0.3206325828658273,6,0.4070200493770522,0.1891310499791825,12,3,True,+,0.44672183616314765
