,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",2.6473235787985914,8.203468926465137,3.026346101989217,4.918347381516455,5.4519271051056934,5.4519271051056934
Durapan,17.504940337930993,17.044039991717742,17.79122014145856,18.816900848646988,15.02985544620005,14.22183651652919
"Erythrono-1,4-lactone",23.417291798715073,23.82958488643099,22.176682287677355,22.92787490413422,23.953297105679837,24.13416838153767
Ethanolamine,27.92524459775121,27.78907181958203,27.084943944408092,27.21934825959647,27.439594575526513,27.439594575526513
Formamide,32.00781944442083,31.21036514314471,30.573336989554633,30.942609521468622,30.573336989554633,30.7823453433383
Frangulin,5.2319467103497415,10.101353297214947,5.4519271051056934,,10.101353297214947,
Glabridin,,,,,19.626871308510992,
Glyceric acid,,,,,25.6563659490016,
Glycerol,15.684213392506413,16.700122639813483,16.10708189958663,17.259371352214917,16.649394651426014,16.267931772699097
Glycine,26.387010738920857,26.779800290688794,25.741137750046672,26.200929917790297,25.96252317418443,25.96252317418443
"Glycine, tert.-butyldimethylsilyl ester",28.597049460306497,28.73936053878384,27.92524459775121,27.78907181958203,27.92524459775121,28.504702814838293
Glycolic acid,28.328763097489578,28.597049460306497,28.022288157553156,27.004989997162102,27.78907181958203,28.328763097489578
Guanosine,18.299161313868307,16.027442504336406,17.67570612907752,,18.206837600992994,
Heptanedioic acid,,,,11.999708944648896,,
Heptanoic acid,25.050447238005177,24.854862067442433,24.419963405671634,24.419963405671634,24.791158461587774,24.69908251133796
Heptylamine,,11.053448878828174,12.73466395698144,14.6579166018199,12.340219003345359,8.959893012120766
Hexacosanoic acid,8.959893012120766,10.589741767314072,10.589741767314072,11.432133533201073,11.053448878828174,
Hexanoic acid,26.50296267227539,26.8471068534773,26.06651650878252,26.341187662588105,26.341187662588105,26.387010738920857
Hydracrylic acid,23.35257549176473,24.617441356369007,23.82958488643099,23.222075930761207,24.241680361020343,24.304911461865277
Hydroxylamine,,,,,,
"Hymexazole, tert-butyldimethylsilyl ether",26.023750424771674,25.313618060977973,25.58298494600797,26.124112340107267,24.419963405671634,24.059471680211118
Hypoxanthine,26.96160059936936,28.022288157553156,27.004989997162102,25.313618060977973,24.491789288861316,26.200929917790297
Iminodiacetic acid,3.026346101989217,5.2319467103497415,3.515329454763203,3.515329454763203,7.5486253233047425,5.7610837394771846
Indoprofen,,,,,,
Isobutanol,16.954735439681233,17.917954706335404,18.40008695193352,14.91150018039568,19.55840932952848,19.41868971884918
Isonicotinic Acid,26.341187662588105,26.124112340107267,25.491807134917025,26.023750424771674,26.023750424771674,25.89217197325309
Isopropyl palmitate,7.5486253233047425,11.73344589311528,8.64390924178897,11.053448878828174,11.73344589311528,8.203468926465137
Isopropylamine,25.140663431027427,23.920579189958964,25.89217197325309,26.387010738920857,25.248245599251963,25.404802973180967
Isosorbide,,,,,,
Ketamine,31.21036514314471,33.78547332532239,30.942609521468622,31.21036514314471,29.976899253025323,29.754289059653733
"Kojic acid, bis(tert-butyldimethylsilyl) ether",19.55840932952848,19.236639097669983,19.791251716821705,21.9535073039897,18.87000098295748,18.697253042531315
L-(+)-Threose,20.944682697362236,,27.439594575526513,,28.597049460306497,
Lactic acid,29.43670460039806,29.092836196046683,29.754289059653733,29.754289059653733,30.172391027732196,28.139723574834868
L-Alanine,4.357485352481382,6.637474595960846,4.357485352481382,5.4519271051056934,5.7610837394771846,3.026346101989217
L-Asparagine,,,,,,
L-gamma-Glutamyl-L-glutamic acid,,,,,,15.564115838261685
Leucylglycine,24.952119430962735,20.715974098065832,21.278227382097498,18.527065735233002,18.964499198463745,23.82958488643099
Levulinic acid,24.13416838153767,24.13416838153767,23.616437364521392,23.920579189958964,24.304911461865277,23.920579189958964
L-Glutamic acid,,18.47862430573336,,,16.267931772699097,18.206837600992994
L-Glutamine,3.515329454763203,5.4519271051056934,2.6473235787985914,5.2319467103497415,6.033603261326803,3.515329454763203
"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",24.791158461587774,24.791158461587774,24.491789288861316,24.69908251133796,24.952119430962735,25.248245599251963
Lignoceric acid,14.77794148459306,16.649394651426014,14.44344997303848,14.021419364841742,15.794924887690241,14.021419364841742
L-Leucine,19.511528355008892,19.90628699179653,18.964499198463745,20.239280036683237,18.994720196960333,18.929456495102794
"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,,,,
L-Lysine,23.99000942053065,24.304911461865277,23.484143310267747,24.187462616991436,24.13416838153767,23.674356384455788
L-Norleucine,30.573336989554633,31.668951186609984,28.328763097489578,22.81629933915454,,28.220824986859178
"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",29.092836196046683,27.706069701939082,,28.328763097489578,28.504702814838293,29.199493510442178
L-Ornithine,,19.192546564593975,,,,
L-Pyroglutamic acid,,26.200929917790297,,,22.92787490413422,22.92787490413422
L-Serine,,29.43670460039806,,,,
L-Threonine,21.42405899916408,22.663346963173684,22.10136387655403,21.566275994088834,,
L-Tryptophan,11.432133533201073,14.6579166018199,14.021419364841742,15.02985544620005,13.019379474962212,10.101353297214947
L-Tyrosine,24.854862067442433,27.004989997162102,26.200929917790297,25.96252317418443,26.200929917790297,
Luciferin,,,,,,4.357485352481382
Lupinine,20.349076790547734,21.42405899916408,20.239280036683237,,20.6292687562774,21.566275994088834
L-Valine,21.278227382097498,23.584213588252027,22.92787490413422,22.017772579784815,22.10136387655403,23.151992757960304
L-Val-L-Leu,,30.573336989554633,26.50296267227539,30.172391027732196,,
Malic acid,22.10136387655403,23.484143310267747,22.017772579784815,22.262186034564476,20.715974098065832,20.6292687562774
Maltol,,,,,,
Methanesulfonic acid,23.222075930761207,23.35257549176473,23.71999917837554,24.361767611067528,20.060474603176946,19.977070348849676
Methyl lactate,17.79122014145856,18.007855678299716,17.73101607564761,18.572420897099427,17.917954706335404,18.145516841146943
Methylsuccinic acid,,,,,,
Methylthiouracil,23.53191592986123,22.176682287677355,23.417291798715073,24.491789288861316,20.944682697362236,20.239280036683237
Mevalonolactone,18.76637914203081,16.548397760488008,17.605330159289814,17.504940337930993,19.977070348849676,20.159049269761585
Monocaproin,27.78907181958203,26.341187662588105,,28.220824986859178,,
m-Toluic acid,17.420656950089175,16.267931772699097,16.700122639813483,16.78619280811605,17.420656950089175,17.259371352214917
Myristic acid,19.723751953711417,20.776972835570746,19.723751953711417,19.82917893481498,20.53009211757007,19.82917893481498
"N,N-Dimethyl-2-aminoethanol",30.942609521468622,29.976899253025323,30.370043719919497,30.7823453433383,29.43670460039806,30.573336989554633
"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",24.059471680211118,,,,24.187462616991436,23.71999917837554
N-Acetylaminoethanol,30.7823453433383,32.00781944442083,30.172391027732196,29.43670460039806,30.7823453433383,31.668951186609984
N-Acetylaspartic acid,19.311341046599278,20.349076790547734,17.96713333278627,17.73101607564761,,18.47862430573336
N-Acetyl-L-alanine,18.87000098295748,19.723751953711417,18.994720196960333,19.044780457273152,19.36205780789064,19.12715709241501
