"N,O-Bis(trimethylsilyl)carbamate__PLS",Plasma
Naphthofluorescein__PLS,Plasma
Neostigmine__PLS,Plasma
Niclosamide__PLS,Plasma
Nitrosothymol__PLS,Plasma
Nonadecanoic acid__PLS,Plasma
Norketamine__PLS,Plasma
Octocrylene__PLS,Plasma
Ornithine__PLS,Plasma
Oxalic acid__PLS,Plasma
p-Hydroxydiisopropylbenzene__PLS,Plasma
p-Toluic acid__PLS,Plasma
"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-__PLS",Plasma
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-__PLS",Plasma
Phenoxyacetic acid__PLS,Plasma
Phenylalanine__PLS,Plasma
Phlorizin__PLS,Plasma
Phloroglucinol__PLS,Plasma
Phosalone__PLS,Plasma
Pimelic acid__PLS,Plasma
"Propanetriol, 2-methyl-__PLS",Plasma
"Propanoic acid, 2-methyl-__PLS",Plasma
Propylamine__PLS,Plasma
"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-__PLS",Plasma
Quazodine__PLS,Plasma
Ribitol__PLS,Plasma
"Ribonic acid, 2,3,4,5-tetrakis-__PLS",Plasma
S-Methyl-L-cysteine__PLS,Plasma
Sertraline carbamoyl glucuronide__PLS,Plasma
"Stigmast-5-ene, 3beta-__PLS",Plasma
Suberic acid__PLS,Plasma
"Tacrine, N-trimethylsilyl-__PLS",Plasma
Tartronic acid__PLS,Plasma
"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-__PLS",Plasma
Tributyl acetylcitrate__PLS,Plasma
Triethanolamine__PLS,Plasma
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate__PLS",Plasma
Trimethylsilyl 3-((trimethylsilyl)thio)propanoate__PLS,Plasma
Trimethylsilyl oct-2-enoate__PLS,Plasma
Trimidox__PLS,Plasma
Trisaminol__PLS,Plasma
Vanillylmandelic acid__PLS,Plasma
Mrps5__CPX,Choroid Plexus
Shc1__CPX,Choroid Plexus
Cope__CPX,Choroid Plexus
Slc44a1__CPX,Choroid Plexus
Tmem62__CPX,Choroid Plexus
Ndfip1__CPX,Choroid Plexus
Nedd4__CPX,Choroid Plexus
Rab11fip5__CPX,Choroid Plexus
Thyn1__CPX,Choroid Plexus
Mtor__CPX,Choroid Plexus
Trappc14__CPX,Choroid Plexus
Map9__CPX,Choroid Plexus
Agrn__CPX,Choroid Plexus
Exph5__CPX,Choroid Plexus
Dap3__CPX,Choroid Plexus
Morn4__CPX,Choroid Plexus
Dnajc21__CPX,Choroid Plexus
Wbp11__CPX,Choroid Plexus
Fcf1__CPX,Choroid Plexus
Plgrkt__CPX,Choroid Plexus
Ttf1__CPX,Choroid Plexus
Usf3__CPX,Choroid Plexus
Arid2__CPX,Choroid Plexus
Zkscan8__CPX,Choroid Plexus
Chmp4c__CPX,Choroid Plexus
Zfp975__CPX,Choroid Plexus
Bhmt2__CPX,Choroid Plexus
Silc1__CPX,Choroid Plexus
Fn3krp__CPX,Choroid Plexus
Cog8__CPX,Choroid Plexus
Inpp5a__CPX,Choroid Plexus
Serbp1__CPX,Choroid Plexus
Fsbp__CPX,Choroid Plexus
Pkn2__CPX,Choroid Plexus
4930412C18Rik__CPX,Choroid Plexus
Pak2__CPX,Choroid Plexus
Hmces__CPX,Choroid Plexus
Slc25a13__CPX,Choroid Plexus
Dhx29__CPX,Choroid Plexus
Rpn2__CPX,Choroid Plexus
Gm43339__CPX,Choroid Plexus
Cebpz__CPX,Choroid Plexus
