n1,n2,source
1-Aminocyclopropanecarboxylic acid-P-F,L-Valyl-L-leucine-F-F,FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside-F-F,FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,Methylmaleic acid-F-F,FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,Picolinic acid-F-F,FEC-PLS
"1-Butanamine, N,N-diethyl--P-F",3-Pyridylcarbinol-F-F,FEC-PLS
"1-Butanamine, N,N-diethyl--P-F",L-Valine-F-F,FEC-PLS
"1-Butanamine, N,N-diethyl--P-F",Serine-F-F,FEC-PLS
"1-Butanamine, N,N-diethyl--P-F",Tyrosine-F-F,FEC-PLS
"1-Cyclohexanone, 3-butyl-3-methyl--P-F","Benzaldehyde, 2,5-dimethoxy-F-F",FEC-PLS
"1-Cyclohexanone, 3-butyl-3-methyl--P-F",D-(-)-Fructopyranose-F-F,FEC-PLS
"1-Cyclohexanone, 3-butyl-3-methyl--P-F",Ethanolamine-F-F,FEC-PLS
"1-Cyclohexanone, 3-butyl-3-methyl--P-F",Protocatechoic acid-F-F,FEC-PLS
"1-Cyclohexanone, 3-butyl-3-methyl--P-F",Supraene-F-F,FEC-PLS
1-Cyclopentylethanol-P-F,1-Dodecanol-F-F,FEC-PLS
1-Cyclopentylethanol-P-F,"2,3-Butanediol-F-F",FEC-PLS
1-Cyclopentylethanol-P-F,alpha-L-(-)-Fucopyranose-F-F,FEC-PLS
1-Cyclopentylethanol-P-F,Hydroquinone-F-F,FEC-PLS
1-Cyclopentylethanol-P-F,Octanoic acid-F-F,FEC-PLS
1-Cyclopentylethanol-P-F,Pantolactone-F-F,FEC-PLS
1-Cyclopentylethanol-P-F,Phthalazin-1-one-F-F,FEC-PLS
1-Cyclopentylethanol-P-F,Protocatechoic acid-F-F,FEC-PLS
"1-Decene, 8-methyl--P-F",Isocitric acid lactone-F-F,FEC-PLS
"1-Decene, 8-methyl--P-F",Pyrrole-2-carboxylic acid-F-F,FEC-PLS
1-Hexanol-P-F,Phloroglucinol-F-F,FEC-PLS
1-Hexanol-P-F,"3-Ethyl-3-methyl-pyrrolidine-2,5-dione-F-F",FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,Acetohydroxamic acid-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,1-Dodecanol-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,1-Octadecanol-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,"2,3-Butanediol-F-F",FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-F-F",FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,4-Methylvaleric acid-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione-F-F",FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,"Arabino-Hexonic acid, 2-deoxy-, gamma-lactone-F-F",FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,"Benzaldehyde, 2,5-dimethoxy-F-F",FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester-F-F",FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,Cyclohexanemethanol-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-F-F",FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,Decyl oleate-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,D-Xylose-F-F,FEC-PLS
