n1,node_cleaned,node_dir,,Name,
Arabinose,Arabinose,1,,9-Octadecen-1-ol,9-Octadecen-1-ol
Azelaic acid,Azelaic acid,1,,9-Octadecenamide,9-Octadecenamide
"Azetidine, 1-acetyl-2-methyl","Azetidine, 1-acetyl-2-methyl",-1,,9-Octadecenoic acid,9-Octadecenoic acid
Benzoic Acid,Benzoic Acid,-1,,9H-Purin-6-ol,9H-Purin-6-ol
beta-Alanine,beta-Alanine,-1,,"Acetamide, N-(2-butyl)-N-methyl-","Acetamide, N-(2-butyl)-N-methyl-"
beta-Arabinopyranose,beta-Arabinopyranose,-1,,Acetoacetic acid,Acetoacetic acid
beta-D-(-)-Ribopyranose,beta-D-(-)-Ribopyranose,-1,,Aconitic acid,Aconitic acid
"beta-D-Galactopyranoside, methyl-, acetate","beta-D-Galactopyranoside, methyl-, acetate",1,,alpha-Linolenic acid,alpha-Linolenic acid
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy","beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",-1,,alpha-Tocopheryl acetate,alpha-Tocopheryl acetate
Butanedioic acid,Butanedioic acid,-1,,Arabinitol,Arabinitol
Butyl caprylate,Butyl caprylate,-1,,Arabinose,Arabinose
Butyl Succinate,Butyl Succinate,-1,,"Azetidine, 1-acetyl-2-methyl","Azetidine, 1-acetyl-2-methyl"
Campesterol,Campesterol,1,,Benzoic Acid,Benzoic Acid
Cholesterol,Cholesterol,-1,,beta-Alanine,beta-Alanine
"cis-4,5-Dihydroxy-o-dithiane","cis-4,5-Dihydroxy-o-dithiane",-1,,beta-Arabinopyranose,beta-Arabinopyranose
Citric acid,Citric acid,-1,,beta-D-(-)-Ribopyranose,beta-D-(-)-Ribopyranose
Cyclohexanecarboxylic acid,Cyclohexanecarboxylic acid,-1,,"beta-D-Galactopyranoside, methyl-, acetate","beta-D-Galactopyranoside, methyl-, acetate"
Cyclohexanemethanol,Cyclohexanemethanol,-1,,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy","beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy"
Cyclohexanol,Cyclohexanol,1,,Butanedioic acid,Butanedioic acid
Cytosine,Cytosine,-1,,"Butanoic acid, 3,4-dihydroxy-","Butanoic acid, 3,4-dihydroxy-"
D-(-)-Fructofuranose,D-(-)-Fructofuranose,-1,,Butyl caprylate,Butyl caprylate
D-(-)-Fructopyranose,D-(-)-Fructopyranose,-1,,Butyl Succinate,Butyl Succinate
D-(-)-Ribofuranose,D-(-)-Ribofuranose,1,,Campesterol,Campesterol
D-(+)-Glucosamine,D-(+)-Glucosamine,-1,,Cholesterol,Cholesterol
"D-(+)-Ribono-1,4-lactone","D-(+)-Ribono-1,4-lactone",-1,,Citric acid,Citric acid
D-(+)-Talofuranose,D-(+)-Talofuranose,1,,Cyclo(L-prolyl-L-valine),Cyclo(L-prolyl-L-valine)
