Lrrc8c__CPX,Choroid Plexus
Dnajc13__CPX,Choroid Plexus
Irak1bp1__CPX,Choroid Plexus
Slc25a20__CPX,Choroid Plexus
Serbp1__CPX,Choroid Plexus
Hdac9__CPX,Choroid Plexus
Birc2__CPX,Choroid Plexus
Prpf6__CPX,Choroid Plexus
Rufy3__CPX,Choroid Plexus
Chi3l1__CPX,Choroid Plexus
Luzp1__CPX,Choroid Plexus
Slc35a3__CPX,Choroid Plexus
Bcl2l12__CPX,Choroid Plexus
Dcaf12l1__CPX,Choroid Plexus
Kmt5b__CPX,Choroid Plexus
Ptger1__CPX,Choroid Plexus
mt-Tv__CPX,Choroid Plexus
mt-Tl1__CPX,Choroid Plexus
Mtap__CPX,Choroid Plexus
Ubl3__CPX,Choroid Plexus
Eef1a1__CPX,Choroid Plexus
Zfp322a__CPX,Choroid Plexus
Evi5__CPX,Choroid Plexus
Sin3a__CPX,Choroid Plexus
Mpp7__CPX,Choroid Plexus
Sytl2__CPX,Choroid Plexus
Kpna3__CPX,Choroid Plexus
Slain2__CPX,Choroid Plexus
Sec62__CPX,Choroid Plexus
Chd5__CPX,Choroid Plexus
Pura__CPX,Choroid Plexus
Nkapd1__CPX,Choroid Plexus
Fsbp__CPX,Choroid Plexus
Sc5d__CPX,Choroid Plexus
Recql5__CPX,Choroid Plexus
Gm25517__CPX,Choroid Plexus
Sox13__CPX,Choroid Plexus
Dnase1l1__CPX,Choroid Plexus
H2az2__CPX,Choroid Plexus
Zfp383__CPX,Choroid Plexus
Gm15083__CPX,Choroid Plexus
Col8a1__CPX,Choroid Plexus
Acox1__CPX,Choroid Plexus
Uqcc5__CPX,Choroid Plexus
Zfp27__CPX,Choroid Plexus
Usp9x__CPX,Choroid Plexus
Dhx36__CPX,Choroid Plexus
Camk1d__CPX,Choroid Plexus
Wdr38__CPX,Choroid Plexus
Gm42636__CPX,Choroid Plexus
Csnk1a1__CPX,Choroid Plexus
Rpn2__CPX,Choroid Plexus
Gm43339__CPX,Choroid Plexus
Cmtm8__CPX,Choroid Plexus
Tmem204__CPX,Choroid Plexus
Samd14__CPX,Choroid Plexus
5330425B07Rik__CPX,Choroid Plexus
Klf8__CPX,Choroid Plexus
Ccdc59__CPX,Choroid Plexus
Limch1__CPX,Choroid Plexus
Ergic2__CPX,Choroid Plexus
Bcat1__CPX,Choroid Plexus
Xpc__CPX,Choroid Plexus
Gm15675__CPX,Choroid Plexus
Atp5mg__CPX,Choroid Plexus
2310014F06Rik__CPX,Choroid Plexus
Hmga1__CPX,Choroid Plexus
Slc11a2__CPX,Choroid Plexus
Mfge8__CPX,Choroid Plexus
Atp7a__CPX,Choroid Plexus
Ifi30__CPX,Choroid Plexus
