DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
19.41868971884918,20.776972835570746,21.63965483051689,21.811268708817973,21.70761198277439,21.42405899916408,20.159049269761585,21.278227382097498,19.82917893481498,21.49512426745769,21.03415127487163,20.159049269761585,21.89766089201072,22.017772579784815
,,,,,,15.564115838261685,,21.49512426745769,,19.044780457273152,17.128341573761485,,
,,,,,,,,,,32.00781944442083,,,
,,,,22.336032499821254,,,20.85775323035948,,,21.70761198277439,22.54252442178061,,
,,,,,23.29594091395716,24.854862067442433,23.151992757960304,,,,,,
27.78907181958203,,27.084943944408092,,,27.60464096162688,28.220824986859178,14.22183651652919,,28.220824986859178,26.45236086775373,,18.76637914203081,11.73344589311528
,,,,,,29.43670460039806,,,,,,,
15.794924887690241,12.73466395698144,14.021419364841742,14.91150018039568,11.432133533201073,15.684213392506413,16.207484324420978,15.925482683255618,,15.684213392506413,13.17498269461429,13.783405868376022,14.77794148459306,13.019379474962212
22.92787490413422,22.430766960994436,22.92787490413422,23.222075930761207,22.663346963173684,21.566275994088834,,21.9535073039897,22.336032499821254,21.89766089201072,22.54252442178061,23.417291798715073,23.222075930761207,22.430766960994436
24.491789288861316,24.13416838153767,22.76118107855382,24.491789288861316,21.03415127487163,21.03415127487163,23.151992757960304,,23.953297105679837,23.99000942053065,24.304911461865277,24.241680361020343,21.278227382097498,21.811268708817973
18.816900848646988,17.605330159289814,17.73101607564761,18.206837600992994,17.128341573761485,18.090663406345644,19.236639097669983,19.36205780789064,16.894290018224726,18.299161313868307,16.954735439681233,17.96713333278627,17.605330159289814,17.313901308851932
,22.336032499821254,23.072538359028545,22.262186034564476,22.991190162689342,23.53191592986123,23.82958488643099,21.49512426745769,23.920579189958964,23.151992757960304,23.072538359028545,22.336032499821254,22.76118107855382,22.76118107855382
11.73344589311528,0.9266751030624765,,,,,8.959893012120766,11.999708944648896,,,,7.5486253233047425,,
,,,,13.17498269461429,,,,,13.487298878543296,11.999708944648896,12.340219003345359,14.6579166018199,13.783405868376022
