node1,node2
Cyclohexanemethanol__FEC,3-(3-Hydroxyphenyl)propanoic acid__FEC
"Guanidine, N,N-dimethyl__FEC",3-Undecene__FEC
"Guanidine, N,N-dimethyl__FEC","Acetamide, N-(2-butyl)-N-methyl-__FEC"
"Guanidine, N,N-dimethyl__FEC","Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
"Guanidine, N,N-dimethyl__FEC",Menthol__FEC
N-Acetyl glucosamine methoxime__FEC,Uridine__FEC
2-Hydroxy-3-methylbutyric acid__FEC,Decanoic acid__FEC
2-Hydroxy-3-methylbutyric acid__FEC,Glycerol tricaprylate__FEC
Decanoic acid__FEC,Glycerol tricaprylate__FEC
Butyl caprylate__FEC,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane__FEC"
Butyl caprylate__FEC,Arabinitol__FEC
9-Octadecenoic acid__FEC,4-Pyridinol__FEC
Pentanoic acid__FEC,3-Undecene__FEC
N-Acetylglucosamine__FEC,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile__FEC"
Tyrosine__FEC,Phenylalanine__FEC
"2,3,4-Trihydroxybutyric acid__FEC","3-Hydroxy-2,3-dihydromaltol__FEC"
"2,3,4-Trihydroxybutyric acid__FEC","Erythrono-1,4-lactone__FEC"
"2,3,4-Trihydroxybutyric acid__FEC",Ribonic acid__FEC
Cytosine__FEC,L-Serine__FEC
Dihydrouracil__FEC,"Propanoic acid, 2-oxo__FEC"
2'-Desoxyuridine__FEC,Thymidine__FEC
Butyl Succinate__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
Butyl Succinate__FEC,L-(+)-Lactic acid__FEC
Butyl Succinate__FEC,"Propanoic acid, 2-oxo__FEC"
alpha-Tocopheryl acetate__FEC,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__FEC
beta-D-(-)-Ribopyranose__FEC,"Erythrono-1,4-lactone__FEC"
N-Methyl-alpha-aminoisobutyric acid__FEC,4-Hydroxybenzaldehyde__FEC
N-Methyl-alpha-aminoisobutyric acid__FEC,Phloretic acid__FEC
Niacinamide__FEC,"2-Pentenedioic acid, 2-hydroxy-__FEC"
"D-Erythro-Pentitol, 2-deoxy-__FEC",1-Hexanol__FEC
Phenylalanine__FEC,4-Hydroxybenzaldehyde__FEC
1-Octadecanol__FEC,Ethanamine__FEC
1-Octadecanol__FEC,"2-Furanacetaldehyde, tetrahydro-alpha__FEC"
1-Octadecanol__FEC,"Acetamide, N-(2-butyl)-N-methyl-__FEC"
1-Octadecanol__FEC,d-Erythrotetrofuranose__FEC
3-Undecene__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
3-Undecene__FEC,Menthol__FEC
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__FEC,Nonanoic acid__FEC
L-(+)-Lactic acid__FEC,Pimelic acid__FEC
L-(+)-Lactic acid__FEC,"Propanoic acid, 2-oxo__FEC"
"2-Furanacetaldehyde, tetrahydro-alpha__FEC",Idoxuridine__FEC
Glycolic acid__FEC,"Propanoic acid, 2-oxo__FEC"
Octadecyl octyl ether__FEC,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane__FEC"
Octadecyl octyl ether__FEC,d-Erythrotetrofuranose__FEC
"Azetidine, 1-acetyl-2-methyl__FEC",Hexacosanoic acid__FEC
Palmitic Acid__FEC,"Acetamide, N-(2-butyl)-N-methyl-__FEC"
3-Hydroxyisovaleric acid__FEC,trans-Coniferryl alchool__FEC
"Erythrono-1,4-lactone__FEC",Idoxuridine__FEC
