n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000054237-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000054237-C,2-Methyl-3-pentanol,,,0,,,2,-1.0,0.0,3,-1.0,1.4042654220543672e-24,5,1,True,-,1.7821428451631082e-22
ENSMUSG00000054405-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000054648-C,2-Propyl-1-pentanol,,,1,-1.0,0.0,3,-1.0,0.0,3,-0.9642857142857144,0.0004541491691941,7,2,True,-,0.04729984303045725
ENSMUSG00000054693-C,"Naringenin 4',7-dimethylether",,,0,1.0,0.0,3,,,2,1.0,1.4042654220543672e-24,5,1,True,+,1.7821428451631082e-22
ENSMUSG00000054693-C,Tromethamine,,,1,,,2,1.0,0.0,3,1.0,0.0,6,1,True,+,0.0
ENSMUSG00000054723-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,1.0,0.0,3,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000055093-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000055435-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000055435-C,"2,4-Imidazolidinedione, 5,5-dimethyl",,,2,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.9523809523809524,0.0002604000243872,8,2,True,+,0.029643644636676413
ENSMUSG00000055435-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000055538-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000055538-C,2-Ethyl-1-butanol,,,0,,,2,1.0,0.0,3,1.0,1.4042654220543672e-24,5,1,True,+,1.7821428451631082e-22
ENSMUSG00000055560-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000055707-C,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",,,2,-1.0,0.0,3,-1.0,0.0,3,-0.9523809523809524,0.0002604000243872,8,2,True,-,0.029643644636676413
ENSMUSG00000056211-C,"Naringenin 4',7-dimethylether",,,0,-1.0,0.0,3,,,2,-1.0,1.4042654220543672e-24,5,1,True,-,1.7821428451631082e-22
ENSMUSG00000056476-C,Lupinine,,,0,,,1,1.0,0.0,3,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000056536-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000056602-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000056895-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000056895-C,2-Methyl-3-pentanol,,,0,,,2,-1.0,0.0,3,-1.0,1.4042654220543672e-24,5,1,True,-,1.7821428451631082e-22
ENSMUSG00000056895-C,"Naringenin 4',7-dimethylether",,,0,-1.0,0.0,3,,,2,-1.0,1.4042654220543672e-24,5,1,True,-,1.7821428451631082e-22
ENSMUSG00000057440-C,2-Propyl-1-pentanol,,,1,-1.0,0.0,3,-1.0,0.0,3,-1.0,0.0,7,2,True,-,0.0
ENSMUSG00000058258-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000058258-C,2-Ethyl-1-butanol,,,0,,,2,-1.0,0.0,3,-1.0,1.4042654220543672e-24,5,1,True,-,1.7821428451631082e-22
ENSMUSG00000058258-C,L-Valine,,,2,-1.0,0.0,3,-1.0,0.0,3,-0.9461247469114746,0.0003753118737904,8,2,True,-,0.0406326982981515
ENSMUSG00000058897-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000059482-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000059742-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000059742-C,2-Ethyl-1-butanol,,,0,,,2,-1.0,0.0,3,-1.0,1.4042654220543672e-24,5,1,True,-,1.7821428451631082e-22
ENSMUSG00000059791-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000059975-C,"Naringenin 4',7-dimethylether",,,0,1.0,0.0,3,,,2,1.0,1.4042654220543672e-24,5,1,True,+,1.7821428451631082e-22
ENSMUSG00000060257-C,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",,,2,1.0,0.0,3,1.0,0.0,3,0.9523809523809524,0.0002604000243872,8,2,True,+,0.029643644636676413
ENSMUSG00000060257-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000060548-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000060743-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000060904-C,L-Norleucine,,,1,,,1,1.0,0.0,3,1.0,1.4042654220543672e-24,5,1,True,+,1.7821428451631082e-22
ENSMUSG00000062352-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000062352-C,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",,,2,-0.8660254037844387,0.3333333333333332,3,,,2,-0.981980506061966,8.290963420193975e-05,7,1,True,-,0.009881530680857621
ENSMUSG00000062352-C,"Propanoic acid, dimethyl(isopropyl)silyl ester",,,0,-1.0,0.0,3,-1.0,0.0,3,-1.0,0.0,6,2,True,-,0.0
ENSMUSG00000063142-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000063142-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000063439-C,Salsoline,,,2,1.0,0.0,3,,,2,0.9642857142857144,0.0004541491691941,7,1,True,+,0.04729984303045725
ENSMUSG00000063663-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000063696-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000064138-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000064138-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000066042-C,L-Norleucine,,,1,,,1,1.0,0.0,3,1.0,1.4042654220543672e-24,5,1,True,+,1.7821428451631082e-22
ENSMUSG00000066057-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000066441-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000066441-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000067028-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000067028-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000067028-C,"3,5-Dimethylphenol",,,2,-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.9578313253012046,0.0001815818197356,8,2,True,-,0.02138141527199382
ENSMUSG00000067028-C,5-Azacytosine,,,2,-1.0,0.0,3,-1.0,0.0,3,-0.9757754965005868,3.4896398846122185e-05,8,2,True,-,0.004270509123792142
ENSMUSG00000067028-C,"Cytosine, N-(tert-butyldimethylsilyl)-",,,2,-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.9518072289156626,0.0002698078279259,8,2,True,-,0.03021274551566969
ENSMUSG00000067028-C,"Dodecanoic acid, 1-methylethyl ester",,,2,-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.9461247469114744,0.0003753118737904,8,2,True,-,0.0406326982981515
ENSMUSG00000067028-C,"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",,,2,-1.0,0.0,3,-1.0,0.0,3,-0.9461247469114744,0.0003753118737904,8,2,True,-,0.0406326982981515
ENSMUSG00000067028-C,Isopropylamine,,,2,1.0,0.0,3,1.0,0.0,3,0.9518072289156626,0.0002698078279259,8,2,True,+,0.03021274551566969
ENSMUSG00000068196-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000068263-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000069020-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000069072-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000069072-C,"2(5H)-Furanone, 4-(hydroxymethyl)",,,2,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.9523809523809524,0.0002604000243872,8,2,True,-,0.029643644636676413
ENSMUSG00000069072-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000069072-C,Heptanoic acid,,,2,-1.0,0.0,3,-1.0,0.0,3,-0.9639253854237598,0.0001142141982578,8,2,True,-,0.01356536086794678
ENSMUSG00000069072-C,Stearic acid,,,2,-1.0,0.0,3,,,2,-0.9910312089651148,1.4561252916129397e-05,7,1,True,-,0.0018110657415522028
ENSMUSG00000069206-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000069670-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,1.0,0.0,3,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000069763-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000069769-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000069769-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000069769-C,2-Methyl-3-pentanol,,,0,,,2,-1.0,0.0,3,-1.0,1.4042654220543672e-24,5,1,True,-,1.7821428451631082e-22
ENSMUSG00000070871-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
