ID,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS_73_REP_190124,DSS_76_REP_190124,DSS_77_REP_190124,DSS_T0.7_180124
GROUP,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"2,3,4-Trihydroxybutyric acid tetrakis",,,14.52621186,,,,,,,14.52621186,14.80210714,15.69162437,17.06309586
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",,,,,,,,,,23.49971423,23.8678347,23.9987918,22.3648566
"2,4-Decadienal",16.57853019,16.43187623,16.51427462,,16.68757869,17.09824797,17.17882994,16.43187623,16.76385171,18.07686419,18.71327863,18.40034089,19.83038856
"2,4-Diamino-6,7-dimethylpteridine",17.24006299,17.06309586,16.97862928,16.89063007,17.96954725,17.75607908,17.5827007,16.53931804,17.09824797,17.44445169,17.8908132,18.11054733,19.71259798
"2,4-Imidazolidinedione, 5,5-dimethyl-",9.372726265,8.988656313,9.545251342,10.96763418,14.84045374,,10.48716356,9.465509781,7.694596559,,,,17.62170735
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",18.18112051,18.01194581,17.44445169,,19.51935504,19.51935504,18.65464899,17.17882994,18.21595138,,16.40086466,16.25524017,19.31692204
"2,5-di-tert-Butyl-1,4-benzoquinone",8.159372166,,10.22792834,9.879569371,13.1883691,12.77266458,12.17581506,10.44768035,,16.94229767,17.00897067,,
"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",24.20182134,24.9927475,24.88015798,24.60826211,24.88015798,24.80567999,24.9927475,24.53851433,25.34644722,25.18438279,25.45684602,25.34644722,25.54861304
"2,5-Di-tert-butylhydroquinone",18.36647083,17.70899753,18.11054733,17.09824797,17.68358059,17.80327182,18.044121,17.24006299,17.06309586,,,,14.37641612
"2,5-Dimethoxy-4-(n)-propylphenethylamine",,,,,,,,,20.21820515,,19.40057334,,
"2,5-Dimethoxy-4-methylamphetamine",30.03081743,30.30087493,30.4570814,29.42215065,30.30087493,30.65717937,29.93870585,29.93870585,30.13788547,28.97338374,29.18307998,29.55723865,29.81327801
"2,5-Dimethoxybenzhydrazide",22.11388657,22.96275538,23.49971423,18.29473955,22.77394851,23.31473498,23.00170775,22.55350385,21.68227601,23.16278385,23.71646045,23.49971423,22.60335594
"2,5-Dimethoxybenzonitrile",18.2415052,21.10323006,21.0216307,17.17882994,20.85080801,20.76419172,21.06428331,20.57438847,20.10978429,20.94746128,20.50238443,20.7272631,
"2,5-Dimethoxymandelic acid",9.465509781,9.465509781,11.10245822,3.365712472,11.96007183,11.78782103,11.72039354,10.71936135,9.465509781,8.90021346,9.12695566,11.51426793,14.41829582
"2,5-Dimethoxyphenol",23.9987918,24.20182134,24.80567999,21.52830388,24.27524702,24.67075898,24.73280573,24.20182134,23.82125404,24.34618777,24.80567999,24.73280573,24.88015798
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",12.63161934,20.55279274,20.13023649,10.48716356,20.94746128,18.83070789,20.37880722,21.33081219,16.51427462,16.53931804,16.21565555,,
"2,5-Piperazinedione, 3-(phenylmethyl)-",,,,22.3648566,,,,,,,,,25.11403713
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",,,,2.735973415,,,,,,,,,
"2,5-Piperazinedione, 3-methyl-6-(phenylmethyl)-",,,,18.54548502,,,,,,23.71646045,19.68586337,23.28568076,
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",3.20307154,1.995000839,4.245152454,,5.783746064,6.588441754,,,,9.639279878,9.465509781,,
"2,6-Dimethoxybenzylamine",17.62170735,20.85080801,14.16260601,21.0216307,20.0435264,17.68358059,20.21820515,18.87471314,15.21671253,,,,
"2,6-Dimethoxyhydroquinone",16.25524017,16.51427462,17.24006299,12.57282838,16.97862928,17.33158696,17.44445169,16.68757869,15.91067079,18.36647083,18.42569287,18.65464899,18.21595138
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",13.44785778,5.871401689,17.33158696,17.96954725,18.62320953,15.76457147,9.795177829,15.72637617,18.92948322,17.92169922,17.44445169,18.31955777,19.66339577
"2,6,10-Trimethyltridecane",21.98787119,,,,,,18.2415052,20.90424817,,,,,
2'-Deoxyribolactone,3.365712472,,16.29669433,14.80210714,,,18.98218827,,6.146813627,21.85387841,21.80203208,21.57793522,
"2',2,3,6'-Tetramethoxychalcone",22.65283474,22.88777693,23.71646045,20.59824708,23.31473498,23.91498035,23.16278385,22.27119795,22.92354523,,,,24.20182134
3-(2-Hydroxyethyl)imidazole-2-thione,16.856624,13.68069535,15.76457147,15.55615121,16.53931804,16.68757869,17.24006299,14.97823835,15.95989954,11.51426793,11.58713484,13.29952427,17.92169922
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",22.47089993,23.63614346,19.3778084,25.89210347,20.50238443,20.59824708,22.07788483,,22.65283474,24.9927475,24.67075898,25.83053674,26.8851741
3-Amino-2-piperidone,19.68586337,20.57438847,20.01457992,23.63614346,18.98218827,18.74513236,18.83070789,21.10323006,21.90291854,25.54861304,25.18438279,24.9927475,21.80203208
3-Amino-5-morpholinomethyl-2-oxazolidinone,,,21.90291854,,21.98787119,20.90424817,,,,19.56978922,19.4230192,20.43082443,22.77394851
3-Aminobenzoic acid,23.43092109,24.27524702,23.28568076,20.31399973,23.49971423,23.9987918,23.58583718,23.49971423,23.31473498,23.34967446,23.91498035,24.12766402,27.05718357
3-Aminobutanoic acid,,19.97653964,,21.80203208,,,,,,17.82452996,18.58988478,18.80444913,21.36409445
"3-Buten-2-one, 3-trimethylsilyloxy-",22.14273214,22.07788483,21.57793522,20.80489511,21.36409445,22.23868736,21.44846378,21.50330639,22.14273214,21.10323006,21.98787119,21.50330639,23.23247857
