metabolite	pubchem_id
Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-	604823
Furan, 2-pentyl-	19602
Galactopyranose	6036
Gln-Ala	9813211
Glucopyranose	5793
Glucose	5793
Glyceric acid	752
Glycine	750
Glycine, N-(1-oxobutyl)-	88412
Glycine, N-(N-DL-leucylglycyl)-	96806
Glycolic acid	757
Glyoxime	135495951
Guanabenz	5702063
Heptadecanoic acid	10465
Hexanedioic acid	196
Hexanoic acid	8892
Hydantoic acid	10020
Hydracrylic acid	68152
Hydroquinidine	91503
Hydroquinone	785
Indole-3-carboxaldehyde	10256
Indole-3-lactic acid	92904
Indole-5-carboxylic acid	74280
Inosose-2, 1,3,4,5,6-pentakis-	
Isofucosterol	5281326
Isopropyl palmitate	8907
Isoxaben	73672
Itaconic acid	811
Ketamine	3821
L-5-Oxoproline	7405
L-Alanine	5950
L-Asparagine	6267
L-Aspartic acid	5960
L-Cysteine	5862
L-Glutamic acid	33032
l-Histidine ethyl ester	
L-Hydroxyproline	5810
L-Isoleucine	6306
L-Leucine	6106
L-Lysine, ethyl ester 	107469
L-Norleucine	21236
L-Threitol	445969
L-Tryptophan	6305
L-Tryptophan, N-acetyl-1	
Lactic Acid	612
Latanoprost lactone diol	10267038
Levulinic acid	11579
Malic acid	525
Metanephrine	21100
Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate	597469
Methyl alpha-Lyxofuranoside	
Methyl aminoacetate	69221
Methyl isovanillate	4056967
Methyl-3-methoxy-5-methyl benzoate	13834966
Methylmalonic monoamide	19373131
Mirin	1206243
Myristic acid	11005
N-Acetyl-L-glutamic acid	70914
N-Isobutyrylglycine	10855600
N-Isovaleroylglycine	546304
N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine	25219599
n-Pentadecanol	12397
N-Valerylglycine	4737557
N,N-Diethyl-2-aminoethanol	7497
N,N-Dimethyl-2-cyclohexyloxyethylamine	546952
Naphthofluorescein	3124834
Neostigmine	4456
Niacin	938
Niacinamide	936
Niclosamide	4477
Nitrosothymol	75393
Nonadecanoic acid	12591
Norketamine	123767
O-Methyl-N,N'-diisopropylisourea 	383824
Octan-2-yl palmitate	19825814
Octane, 1-propoxy-	520430
Octanoic acid	379
Octocrylene	22571
Octopamine	4581
Ornithine	6262
Oxalic acid	971
p-Hydroxydiisopropylbenzene	18935
p-Toluic acid	7470
Palmitelaidic acid	5282745
Palmitic Acid	985
Pentylone	60208608
Phenol, 3,5-bis(1,1-dimethylethyl)-	70825
Phenoxyacetic acid	19188
Phenylalanine	6140
Phenylpropanolamine	10297
Phlorizin	6072
Phloroglucinol	359
Phosalone	4793
Phthalazin-1-one	8394
Pimelic acid	385
Pipecolic acid	849
Pregn-16-en-20-one, 3,18-bis(acetyloxy)-14,15-epoxy-, (3beta,5alpha,14beta,15beta)-	
Propanetriol, 2-methyl-	
Propanoic acid, 2-methyl-	6590
Propiophenone, 3',4'-dimethoxy-	15781
Propylamine	7852
Pyrazine, 3,6-dihydro-3,6-dimethyl-	
Pyrrole-2-carboxylic acid	12473
Quazodine	19918
Ribitol	6912
Ribonic acid, 2,3,4,5-tetrakis-	
S-Methyl-L-cysteine	24417
Salsoline	40010
Ser-Leu	7015695
Sertraline carbamoyl glucuronide	71752187
Stearic acid	5281
Stigmast-5-ene, 3beta-	
Suberic acid	10457
Succinic anhydride	7922
Talonic acid, gamma-lactone	
Tartronic acid	45
Tetradecanenitrile	64678
Thiazolo[4,5-f]quinoline, 2,9-dimethyl-	611805
Tributyl acetylcitrate	6505
Triethanolamine	7618
Trimidox	135409350
Trisaminol	6503
L-Tyrosine	6057
Uracil	1174
Vanillylmandelic acid	1245
Xylazine	5707
Xylitol	6912
Xylose	135191
3-(Nona-4,7-dienoyl)oxirane-2-carboxamide 	5352018
2-amino-1-methyl-1H-imidazol-4-ol	26009888
1,2-Butadiene, 1,1,4-triphenyl-	
1,3-Diethynylbenzene	123130
(Z)-2-hydroxyhex-2-enoic acid	
Xylazine	5707
3-Hydroxybut-3-en-2-one	13285096
3'-oxy-beta-napthoflavone	
7alpha-Hydroxycholesterol	107722
7-amino-4-methylcoumarin	92249
Glycolic acid	757
Monoacetin	33510
Benzeneethanamine, N-[(pentafluorophenyl)methylene]-4-oxy	
beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-oxy-	
beta-D-Galactofuranose, 1,2,3,5,6-pentakis-oxy-	
Acetylene	6326
Butanal, 2,3,4-tris(oxy)-, O-methyloxime, [R-(R*,R*)]-	
2-hydroxy-2-methylbutanoic acid	95433
2,4-Dihydroxybutanoic acid	192742
Cetaben	47263
4-Hydroxycyclohexanecarboxylic acid	151138
4-Hydroxyhippuric acid	151012
Morpholine, 4-(2,3,4,6-tetrakis-O-alpha-d-mannopyranosyl)-	
N-hexanamide	12332
Isocarbamid	35699
guanine	135398634
Carbamate	276
2-hydroxyglutaric acid	43
3-Hydroxy-3-methylglutaric acid	1662
4-hydroxy-3-pentenoic acid	6442606
Thymine	1135
Tacrine	1935
6-(Hydroxymethyl)-1,3,5-trimethylpyrimidine-2,4-dione	
3-Carboxymethyl-6-benzyl-2,5-diketopiperazine	119494
3-thiopropanoic acid	6514
Oct-2-enoate	5282713
