,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224
"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",,21.89766089201072,21.89766089201072,,21.42405899916408
2-Naphthol,17.917954706335404,15.925482683255618,16.267931772699097,16.78619280811605,15.267001008214582
2-Norbornanemethanol,,,,,25.89217197325309
"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",,,,,
2-Pentadecanone,10.589741767314072,1.8466198968201704,5.2319467103497415,7.5486253233047425,0.3939723285303532
"2-Pivaloyl-1,3-indandione",,,,,
2-Propyl-1-pentanol,,20.715974098065832,23.35257549176473,23.29594091395716,22.430766960994436
2-Pyrrolidone-5-carboxylic acid,28.597049460306497,29.43670460039806,29.43670460039806,31.668951186609984,29.43670460039806
"2-Thiophenecarboxylic acid, 4-cyanophenyl ester",,,,,
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",19.41868971884918,20.776972835570746,21.63965483051689,21.811268708817973,21.70761198277439
3-(4-Methoxyphenyl)coumarin,,,,,
"3,3-Bis{4-[(trimethylsilyl)oxy]phenyl}-2-benzofuran-1(3H)-one",,,,,
"3,3-Dimethylacrylic acid",,,,,22.336032499821258
"3,4-Dihydroxybenzaldehyde",,,,,
"3,4-Methylenedioxyamphetamine",27.78907181958203,,27.084943944408092,,
"3,5-Dimethoxy-4-(tert.-butyldimethylsilyl)oxybenzaldehyde",,,,,
"3,5-Dimethylphenol",15.79492488769024,12.73466395698144,14.021419364841742,14.91150018039568,11.432133533201071
3-Amino-5-methylisoxazole,22.92787490413422,22.430766960994436,22.92787490413422,23.222075930761207,22.663346963173684
3-Aminobenzoic acid,24.491789288861316,24.13416838153767,22.76118107855382,24.491789288861316,21.03415127487163
3-Buten-2-one,18.816900848646988,17.605330159289814,17.73101607564761,18.20683760099299,17.128341573761485
3-Heptanol,,22.336032499821258,23.072538359028545,22.262186034564476,22.991190162689342
"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",11.73344589311528,0.9266751030624764,,,
3-Hydroxymethyl-2-trimethylsilyloxypentane,,,,,13.17498269461429
3-Methyl-3-buten-1-ol,,,15.39656988471546,,16.027442504336406
3-Nonene,,,,,
3-Phenyl oxindole,,,,,
"4,4'-Dichlorobenzophenone",,,,,
"4,5-Dihydro-1H-pyrazole",,24.05947168021112,25.140663431027427,,25.248245599251963
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",21.811268708817973,21.811268708817973,20.944682697362236,21.9535073039897,20.53009211757007
4-Aminobutanoic acid,16.267931772699097,18.87000098295748,18.145516841146943,17.73101607564761,13.783405868376022
4-Hydroxybutanoic acid,,,,,
4-Methoxyphenol,,26.651849462366915,,,28.504702814838293
"4-Methylquinoline-2,7-diol",,,,,
4-Methylvaleric acid,18.994720196960333,19.36205780789064,19.791251716821705,18.92945649510279,18.40008695193352
4-Oxohexanoic acid,19.511528355008892,18.816900848646988,18.87000098295748,19.626871308510992,18.090663406345644
"4-Phenyl-2,3-dihydro-1H-1,5-benzodiazepin-2-one",,,,,
4-tert-Butyldimethylsiloxy-3-penten-2-one,26.269939079141064,24.491789288861316,,,
5-Aminovaleric acid,,,,,
5-Azacytosine,18.47862430573336,17.79122014145856,18.527065735233,18.697253042531315,16.700122639813483
"5-Chlorovaleric acid, nonyl ester",24.05947168021112,23.584213588252027,23.920579189958964,24.13416838153767,23.417291798715073
"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",22.430766960994436,23.222075930761207,,21.36156896985457,22.54252442178061
5-Ethyl-5-methylnonadecane,,,,,
5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,16.700122639813483,36.317196840651846,16.10708189958663,26.96160059936936,
5-Nitroso-8-quinolinol,,23.71999917837554,24.187462616991436,,
"5-Nonanol, tert-butyldimethylsilyl ether",19.82917893481498,19.511528355008892,19.55840932952848,19.90628699179653,18.76637914203081
5-Oxohexanoic Acid,19.55840932952848,19.236639097669983,19.236639097669983,17.79122014145856,18.572420897099427
"6,7,4'-Trihydroxyisoflavone",17.73101607564761,17.044039991717742,16.894290018224726,17.313901308851932,16.10708189958663
"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",17.128341573761485,14.6579166018199,16.207484324420978,16.207484324420978,14.91150018039568
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",25.792817913981175,25.792817913981175,26.06651650878252,,26.387010738920857
6-Methyluracil,20.85775323035948,19.626871308510992,19.36205780789064,20.53009211757007,17.73101607564761
6-Nitroveratryl alcohol,,,18.090663406345644,,
6-Oxoheptanoic acid,21.36156896985457,21.278227382097494,21.36156896985457,21.42405899916408,20.776972835570746
"7(S),17(S)-Dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-docosapentaenoic acid",,,11.73344589311528,,
7-Hydroxy-4-(methoxymethyl)coumarin,11.053448878828174,2.0053360546098284,,,
8-Acetyl-7-hydroxycoumarin,,,,,
8-Methylnonanoic acid,23.82958488643099,23.53191592986123,23.674356384455788,23.953297105679837,23.484143310267747
"9,12-Octadecadienoic acid (Z,Z)",,,,,23.82958488643099
9-Ethyl-N-(trimethylsilyl)-9H-carbazol-3-amine,,,,,
"9H-Xanthen-9-one, 1-hydroxy-3,5,6-trimethoxy",,24.69908251133796,,,
"9Z-Octadecenoic acid, (2S)-3-[(hydroxymercaptophosphinyl)oxy]-2-methoxypropyl ester ",15.684213392506413,,,,
Acetic acid,36.98883560312424,33.78547332532239,36.317196840651846,36.317196840651846,36.317196840651846
Aceturic acid,24.13416838153767,23.920579189958964,,24.854862067442433,24.241680361020343
Aconitic acid,23.99000942053065,24.617441356369007,23.584213588252027,23.99000942053065,24.304911461865277
Adenine,17.420656950089175,13.487298878543296,14.6579166018199,15.684213392506413,10.589741767314072
Adipic acid,,,,,
Adipoyl-L-carnitine,18.145516841146943,,,19.044780457273152,17.605330159289814
alpha-Hydroxyisobutyric acid,,14.77794148459306,15.79492488769024,15.925482683255618,
Allylescaline,30.942609521468626,30.942609521468626,32.65987336076064,30.172391027732196,31.21036514314471
Aminoguanidine,,,,22.176682287677355,
Aniline,18.697253042531315,17.917954706335404,18.40008695193352,18.816900848646988,17.313901308851932
Azelaic acid,19.192546564593975,18.47862430573336,19.12715709241501,19.977070348849676,18.527065735233
"Aziridine, 1-(2-buten-2-yl)",,,,,
"Benz[a]anthracene-1,7,12(2H)-trione, 3,4-dihydro-8-hydroxy-3-methyl-, (3S)",,,,,
"Benz[c]acridine, 5,10-dimethyl",,,,,
"Benzaldehyde, 2,5-dimethoxy",36.317196840651846,36.98883560312424,36.98883560312424,36.98883560312424,36.98883560312424
"Benzene, 1,4-dimethoxy",21.49512426745769,21.49512426745769,21.811268708817973,22.430766960994436,21.63965483051689
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)",,,,,
"Benzene, 1-ethyl-3,5-dimethyl",,,,,22.176682287677355
Benzeneacetic acid,,16.649394651426014,,,
Benzenepropanoic acid,23.35257549176473,23.99000942053065,23.616437364521392,22.76118107855382,23.870386627878062
"Benzenesulfonamide, N-butyl",15.39656988471546,12.34021900334536,13.783405868376022,14.6579166018199,8.64390924178897
"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester ",28.139723574834868,27.92524459775121,28.73936053878384,29.43670460039806,28.597049460306497
"Benzoic acid, methyl ester",20.715974098065832,23.35257549176473,23.417291798715073,23.82958488643099,23.222075930761207
Benzoic Acid,28.73936053878384,28.863827445577932,28.504702814838293,29.754289059653733,28.863827445577932
Benzophenone,16.649394651426014,14.22183651652919,14.91150018039568,14.22183651652919,12.34021900334536
Benzyl alcohol,25.6563659490016,25.404802973180967,24.952119430962735,25.140663431027427,24.41996340567163
Biphenyl,22.176682287677355,22.017772579784815,22.262186034564476,21.89766089201072,21.49512426745769
Butachlor ESA,,0.5989360822462241,4.357485352481382,6.637474595960846,0.0518977159755789
Butanedioic acid,29.199493510442174,27.78907181958203,30.370043719919497,30.573336989554633,29.754289059653733
Butylmethylamine,22.336032499821258,23.82958488643099,23.71999917837554,24.187462616991436,23.71999917837554
Butyric Acid,26.96160059936936,27.084943944408092,27.004989997162102,27.78907181958203,26.567254262059528
Chlorobenzilate ,23.71999917837554,,26.96160059936936,24.617441356369007,
Cholesterol,27.084943944408092,20.944682697362236,21.566275994088834,22.60513085670781,18.87000098295748
cis-2-Decenoic acid,,,,,
Citramalic acid,15.02985544620005,14.021419364841742,13.019379474962212,14.77794148459306,11.999708944648896
Crotonic acid,22.76118107855382,22.76118107855382,22.54252442178061,22.991190162689342,19.723751953711417
Curcumin,17.79122014145856,17.128341573761485,17.259371352214917,17.044039991717742,16.207484324420978
Cyclobutylamine,25.140663431027427,25.248245599251963,24.854862067442433,25.741137750046672,25.050447238005177
Cyclocurcumin,,,,,
Cycloheptanol,23.222075930761207,22.176682287677355,22.60513085670781,22.81629933915454,22.10136387655403
"Cyclohexanone, 3,3,5-trimethyl",20.53009211757007,21.566275994088834,22.336032499821258,23.71999917837554,22.76118107855382
Cyclooctylamine,22.262186034564476,24.241680361020343,24.241680361020343,25.050447238005177,24.791158461587777
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",20.239280036683237,19.41868971884918,19.723751953711417,19.12715709241501,18.299161313868307
"Cytosine, N-(tert-butyldimethylsilyl)-",15.267001008214582,11.73344589311528,12.73466395698144,14.44344997303848,6.637474595960846
Desmethylverapamil,,,,25.89217197325309,
Diacetyl monoxime,18.40008695193352,17.420656950089175,17.67570612907752,17.917954706335404,16.78619280811605
Dibutyldodecylamine,20.437043584347983,,,,
Diclofenac,16.027442504336406,16.027442504336406,,17.420656950089175,15.79492488769024
Diethylamine,18.572420897099427,18.299161313868307,18.994720196960333,19.55840932952848,18.697253042531315
DL-Glyceraldehyde,24.69908251133796,26.06651650878252,26.269939079141064,26.269939079141064,26.124112340107267
