,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224
Hypoxanthine,23.870386627878062,27.21934825959647,24.13416838153767
Iminodiacetic acid,12.34021900334536,11.432133533201071,8.959893012120766
Indoprofen,,,
Isobutanol,19.626871308510992,18.697253042531315,19.12715709241501
Isonicotinic Acid,25.96252317418443,26.023750424771674,26.269939079141064
Isopropyl palmitate,13.487298878543296,12.34021900334536,12.34021900334536
Isopropylamine,24.13416838153767,23.71999917837554,23.35257549176473
Isosorbide,21.89766089201072,20.944682697362236,21.151328125650927
Ketamine,30.172391027732196,31.21036514314471,30.7823453433383
"Kojic acid, bis(tert-butyldimethylsilyl) ether",18.76637914203081,19.41868971884918,17.848056725654924
L-(+)-Threose,,,
Lactic acid,28.597049460306497,30.942609521468626,29.976899253025323
L-Alanine,10.589741767314072,10.589741767314072,10.101353297214947
L-Asparagine,,20.85775323035948,
L-gamma-Glutamyl-L-glutamic acid,,18.816900848646988,
Leucylglycine,,23.222075930761207,
Levulinic acid,23.920579189958964,24.241680361020343,24.241680361020343
L-Glutamic acid,,,
L-Glutamine,11.73344589311528,6.637474595960846,8.64390924178897
"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",23.77270330773383,24.491789288861316,23.584213588252027
Lignoceric acid,16.548397760488008,17.605330159289814,16.78619280811605
L-Leucine,20.239280036683237,19.192546564593975,19.55840932952848
"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",32.00781944442083,,33.78547332532239
L-Lysine,24.304911461865277,,23.29594091395716
L-Norleucine,,,30.370043719919497
"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",27.92524459775121,,
L-Ornithine,15.564115838261683,,17.79122014145856
L-Pyroglutamic acid,24.187462616991436,,21.42405899916408
L-Serine,25.404802973180967,25.741137750046672,25.248245599251963
L-Threonine,,,
L-Tryptophan,15.02985544620005,14.91150018039568,15.02985544620005
L-Tyrosine,25.792817913981175,26.200929917790297,25.6563659490016
Luciferin,13.783405868376022,,
Lupinine,,22.176682287677355,
L-Valine,22.10136387655403,23.35257549176473,21.70761198277439
L-Val-L-Leu,,,
Malic acid,20.85775323035948,22.54252442178061,20.776972835570746
Maltol,,,
Methanesulfonic acid,21.278227382097494,21.63965483051689,
