n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count
ENSMUSG00000026504-B,3-(4-Methoxyphenyl)coumarin,,,1,,,0,0.5,0.6666666666666667,3,0.3999999999999999,0.6,4,1
ENSMUSG00000026504-B,"3,4-Dihydroxybenzaldehyde",-0.5,0.6666666666666667,3,,,0,,,0,-0.5,0.6666666666666667,3,1
ENSMUSG00000026504-B,"3,4-Methylenedioxyamphetamine",-0.5,0.6666666666666667,3,,,1,-0.7999999999999999,0.2,4,-0.2874303028591821,0.4900154852220341,8,2
ENSMUSG00000026504-B,"3,5-Dimethylphenol",0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.1999999999999999,0.747060078104662,5,0.2460143056922308,0.4658743985529924,11,3
ENSMUSG00000026504-B,3-Amino-5-methylisoxazole,,,2,-0.5,0.6666666666666667,3,0.3714285714285715,0.4684781341107871,6,0.0182232819031282,0.9575888166970636,11,2
ENSMUSG00000026504-B,3-Aminobenzoic acid,,,2,-0.5,0.6666666666666667,3,-0.2571428571428572,0.6227871720116618,6,-0.1093396914187692,0.7489532016128978,11,2
ENSMUSG00000026504-B,3-Buten-2-one,1.0,0.0,3,-0.5,0.6666666666666667,3,-0.4285714285714286,0.3965014577259474,6,-0.0559440559440559,0.8628980736949712,12,3
ENSMUSG00000026504-B,3-Heptanol,-0.5,0.6666666666666667,3,1.0,0.0,3,-0.1159542071304896,0.826848213385815,6,0.0736846641113629,0.819972964509617,12,3
ENSMUSG00000026504-B,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,0.1999999999999999,0.747060078104662,5,0.0857142857142857,0.8717434402332361,6,1
ENSMUSG00000026504-B,3-Methyl-3-buten-1-ol,,,2,,,2,-0.1999999999999999,0.8,4,-0.4699136253940829,0.2400266270635473,8,1
ENSMUSG00000026504-B,"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.7826908981308054,0.065703848071589,6,0.4912310940757527,0.1048431584773058,12,3
ENSMUSG00000026504-B,4-Aminobutanoic acid,-1.0,0.0,3,0.5,0.6666666666666667,3,-0.3142857142857143,0.5440932944606414,6,-0.4055944055944056,0.1908358740045003,12,3
ENSMUSG00000026504-B,4-Methoxyphenol,0.5,0.6666666666666667,3,,,1,-0.3999999999999999,0.6,4,-0.4191691916696407,0.3012666326633443,8,2
ENSMUSG00000026504-B,4-Methylvaleric acid,-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,-0.0999999999999999,0.8728885715695383,5,0.2363636363636363,0.4840911622253965,11,3
ENSMUSG00000026504-B,4-Oxohexanoic acid,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.3999999999999999,0.6,4,-0.2848484848484848,0.4250381548921454,10,3
ENSMUSG00000026504-B,4-tert-Butyldimethylsiloxy-3-penten-2-one,,,0,,,0,0.7999999999999999,0.2,4,0.7999999999999999,0.2,4,1
ENSMUSG00000026504-B,5-Azacytosine,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.6377481392176932,0.1730711102412597,6,-0.2319891647187164,0.4681229080805079,12,3
ENSMUSG00000026504-B,"5-Chlorovaleric acid, nonyl ester",0.8660254037844387,0.3333333333333332,3,-0.5,0.6666666666666667,3,0.7714285714285715,0.0723965014577259,6,0.4807047134884151,0.1136616900271681,12,3
ENSMUSG00000026504-B,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",0.5,0.6666666666666667,3,,,2,-0.3999999999999999,0.6,4,0.2166666666666666,0.5755148957119259,9,2
ENSMUSG00000026504-B,5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,,,1,,,2,0.0289885517826224,0.9565293523898406,6,0.2259434003640452,0.5588463751684138,9,1
ENSMUSG00000026504-B,"5-Nonanol, tert-butyldimethylsilyl ether",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.0294244943168249,0.95587599640109,6,-0.0035149873442229,0.9913499783295984,12,3
ENSMUSG00000026504-B,5-Oxohexanoic Acid,-0.5,0.6666666666666667,3,1.0,0.0,3,-0.0869656553478672,0.8698803787001028,6,0.1085816025924436,0.7369437083547932,12,3
ENSMUSG00000026504-B,"6,7,4'-Trihydroxyisoflavone",0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.0869656553478672,0.8698803787001028,6,0.3817869252443987,0.2207080155044027,12,3
ENSMUSG00000026504-B,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",0.0,1.0,3,0.0,1.0,3,-0.3999999999999999,0.6,4,-0.2031009601158989,0.5735942072694421,10,3
ENSMUSG00000026504-B,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol",,,1,,,2,-0.7999999999999999,0.2,4,-0.792824967172092,0.0334435437405415,7,1
ENSMUSG00000026504-B,6-Methyluracil,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.3768511731740915,0.4614828403508046,6,0.0316348860980067,0.9222523104570448,12,3
ENSMUSG00000026504-B,6-Nitroveratryl alcohol,,,1,,,1,1.0,0.0,3,0.0,1.0,5,1
ENSMUSG00000026504-B,6-Oxoheptanoic acid,-0.8660254037844387,0.3333333333333332,3,-0.5,0.6666666666666667,3,-0.2,0.704,6,-0.0281198987537838,0.930871594044849,12,3
ENSMUSG00000026504-B,7-Hydroxy-4-(methoxymethyl)coumarin,,,1,,,0,0.5,0.6666666666666667,3,0.7999999999999999,0.2,4,1
ENSMUSG00000026504-B,8-Methylnonanoic acid,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.2608969660436018,0.6175338174259972,6,-0.0912286317569255,0.777964790631589,12,3
ENSMUSG00000026504-B,"9Z-Octadecenoic acid, (2S)-3-[(hydroxymercaptophosphinyl)oxy]-2-methoxypropyl ester",,,2,,,0,0.0999999999999999,0.8728885715695383,5,0.0714285714285714,0.8790481931481541,7,1
ENSMUSG00000026504-B,Acetic acid,0.0,1.0,3,,,3,-0.2160246899469287,0.6810035411783686,6,-0.3992160503136119,0.1985792733249743,12,2
ENSMUSG00000026504-B,Aceturic acid,1.0,0.0,3,,,2,-0.2571428571428572,0.6227871720116618,6,-0.5011402523360258,0.1163394588617956,11,2
ENSMUSG00000026504-B,Aconitic acid,1.0,0.0,3,-0.5,0.6666666666666667,3,-0.4058397249567139,0.4246625075613645,6,0.1543869152809508,0.6318819018346753,12,3
ENSMUSG00000026504-B,Adenine,,,1,-0.5,0.6666666666666667,3,-0.2571428571428572,0.6227871720116618,6,-0.0303952771840032,0.9335717251179996,10,2
ENSMUSG00000026504-B,Adipoyl-L-carnitine,,,1,,,2,-0.5,0.6666666666666667,3,0.3142857142857143,0.5440932944606414,6,1
