n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000000093-B,"Benzenesulfonamide, N-butyl",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.8116794499134279,0.0498575851013403,6,0.0263620793766076,0.9351846470687308,12,3,True,+,0.9570904106503307
ENSMUSG00000000093-B,Butachlor ESA,,,2,0.5,0.6666666666666667,3,0.7999999999999999,0.2,4,0.0836827408755723,0.8305146353314997,9,2,True,+,0.8963540154087032
ENSMUSG00000000093-B,Crotonic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.8196885999705371,0.0458371412324531,6,0.5185257765656842,0.084132974060975,12,3,True,+,0.43712204617699113
ENSMUSG00000000093-B,"Dodecanoic acid, 1-methylethyl ester",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.8285714285714287,0.0415626822157433,6,0.014059775667524,0.9654088887686972,12,3,True,+,0.9734138246476127
ENSMUSG00000000093-B,Durapan,,,1,0.5,0.6666666666666667,3,0.0857142857142857,0.8717434402332361,6,0.0424242424242424,0.907363817812816,10,2,True,+,0.9407484180836129
ENSMUSG00000000093-B,Ethanolamine,1.0,0.0,3,0.8660254037844387,0.3333333333333332,3,0.3188740696088466,0.5379005604702051,6,0.3339306005761134,0.2887748220380857,12,3,True,+,0.6277195187495729
ENSMUSG00000000093-B,Guanosine,,,1,-1.0,0.0,3,-0.3999999999999999,0.6,4,-0.1796439392869888,0.6703442772469387,8,2,True,-,0.8053839790183271
ENSMUSG00000000093-B,Heptylamine,,,1,0.5,0.6666666666666667,3,0.0999999999999999,0.8728885715695383,5,0.075314466788015,0.8472940220818164,9,2,True,+,0.9091023846849171
ENSMUSG00000000093-B,"Hymexazole, tert-butyldimethylsilyl ether",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1428571428571428,0.7871720116618075,6,0.3047290137271806,0.3355078216764541,12,3,True,+,0.6526033186098378
ENSMUSG00000000093-B,Isopropyl palmitate,0.8660254037844387,0.3333333333333332,3,0.5,0.6666666666666667,3,0.8116794499134279,0.0498575851013403,6,0.1285219234918782,0.690578636082865,12,3,True,+,0.8197666335687916
ENSMUSG00000000093-B,Isosorbide,0.5,0.6666666666666667,3,,,0,,,0,0.5,0.6666666666666667,3,1,True,+,0.8048809618863683
ENSMUSG00000000093-B,"Kojic acid, bis(tert-butyldimethylsilyl) ether",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.0857142857142857,0.8717434402332361,6,0.2697026903102633,0.3965800331472625,12,3,True,+,0.6911345389694523
ENSMUSG00000000093-B,L-(+)-Threose,,,0,,,0,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,1,True,+,0.8048809618863683
ENSMUSG00000000093-B,Leucylglycine,,,1,-1.0,0.0,3,-0.6,0.2079999999999998,6,-0.6969696969696969,0.0250966758822518,10,2,True,-,0.29079507768200974
ENSMUSG00000000093-B,L-Glutamic acid,,,0,,,2,0.5,0.6666666666666667,3,0.0999999999999999,0.8728885715695383,5,1,True,+,0.9176953352743827
ENSMUSG00000000093-B,L-Glutamine,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.8406680016960503,0.0360575728451592,6,0.1035087719298245,0.7488753770940741,12,3,True,+,0.8515598344799333
ENSMUSG00000000093-B,L-Leucine,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.7142857142857143,0.1107871720116617,6,0.3838051961812254,0.2180727318814352,12,3,True,+,0.5711407495121592
ENSMUSG00000000093-B,L-Norleucine,,,1,,,1,0.3999999999999999,0.5046315754686911,5,0.0360374985078223,0.938860561394214,7,1,True,+,0.9586377127971681
ENSMUSG00000000093-B,"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",,,1,,,2,-0.8999999999999998,0.0373860734684987,5,-0.5952380952380953,0.1195298061387925,8,1,True,-,0.4800681643645305
ENSMUSG00000000093-B,L-Pyroglutamic acid,,,2,,,1,0.8660254037844387,0.3333333333333332,3,0.2794117647058823,0.5917893216975372,6,1,True,+,0.8048809618863683
ENSMUSG00000000093-B,L-Serine,0.5,0.6666666666666667,3,,,1,,,1,0.3,0.6238376647810728,5,1,True,+,0.8048809618863683
ENSMUSG00000000093-B,L-Tyrosine,0.5,0.6666666666666667,3,,,2,0.5642880936468347,0.3217233358243002,5,0.4356156145892926,0.208257887001565,10,2,True,+,0.5592871406170543
ENSMUSG00000000093-B,L-Valine,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.0857142857142857,0.8717434402332361,6,0.1599299482180863,0.6195395120226801,12,3,True,+,0.8048809618863683
ENSMUSG00000000093-B,L-Val-L-Leu,,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000000093-B,Methanesulfonic acid,,,2,0.5,0.6666666666666667,3,0.2571428571428572,0.6227871720116618,6,0.1272727272727273,0.7092146257733047,11,2,True,+,0.8288777706168527
ENSMUSG00000000093-B,Methylthiouracil,,,2,0.5,0.6666666666666667,3,0.1428571428571428,0.7871720116618075,6,0.091116409515641,0.7899039060352314,11,2,True,+,0.8748879564673014
ENSMUSG00000000093-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000000093-B,N-Acetylaminoethanol,0.8660254037844387,0.3333333333333332,3,0.8660254037844387,0.3333333333333332,3,0.2029198624783569,0.6997979681570189,6,0.4194854528023373,0.174626745039446,12,3,True,+,0.5551597317372179
ENSMUSG00000000093-B,N-Acetylaspartic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.3,0.6238376647810728,5,0.4794520547945206,0.1356305989980779,11,3,True,+,0.5096386915494545
ENSMUSG00000000093-B,"Naringenin 4',7-dimethylether",,,0,1.0,0.0,3,0.6668859288553501,0.2188939813132316,5,0.8383383833392813,0.009323115735056,8,2,True,+,0.1708069352088413
ENSMUSG00000000093-B,Niacinamide,,,2,0.5,0.6666666666666667,3,0.0857142857142857,0.8717434402332361,6,0.0800917428793357,0.814918455834651,11,2,True,+,0.8892371708571901
ENSMUSG00000000093-B,N-Isobutyrylglycine,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.4058397249567139,0.4246625075613645,6,-0.386643830856912,0.2143985809540895,12,3,True,-,0.5667718727342859
ENSMUSG00000000093-B,Norketamine,0.8660254037844387,0.3333333333333332,3,0.5,0.6666666666666667,3,0.7061878636037996,0.1168066069474558,6,0.0939769492007096,0.7714303952106243,12,3,True,+,0.8665197494002379
ENSMUSG00000000093-B,Octacosanol,,,1,,,2,-0.7999999999999999,0.2,4,-0.3783937343321348,0.402602201921755,7,1,True,-,0.6926017410669137
ENSMUSG00000000093-B,Octanoic acid,,,0,,,2,0.7999999999999999,0.2,4,0.8857142857142858,0.0188454810495626,6,1,True,+,0.25479829151809635
ENSMUSG00000000093-B,Pentanedioic acid,0.5,0.6666666666666667,3,,,2,0.5797710356524484,0.227783956715016,6,0.3821520303099733,0.2461120381785918,11,2,True,+,0.6007193768909547
ENSMUSG00000000093-B,Pentanoic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.6,0.2079999999999998,6,0.3052631578947368,0.3346183238412898,12,3,True,+,0.6513009972339668
ENSMUSG00000000093-B,"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",0.5,0.6666666666666667,3,1.0,0.0,3,0.4857142857142857,0.3287230320699709,6,0.3157894736842105,0.3173510269273387,12,3,True,+,0.6499831138129007
ENSMUSG00000000093-B,Phthalazin-1-one,,,1,,,0,-0.8660254037844387,0.3333333333333332,3,-0.316227766016838,0.683772233983162,4,1,True,-,0.8146262908316528
ENSMUSG00000000093-B,"Propanoic acid, 3-[(tert-butyldimethylsilyl)oxy]-2-methyl-",0.5,0.6666666666666667,3,,,2,0.0579771035652448,0.9131317851623264,6,0.0480550457276014,0.8884186961745636,11,2,True,+,0.9271503213629568
ENSMUSG00000000093-B,Propanoic acid,,,1,,,2,0.6668859288553501,0.2188939813132316,5,0.5628843430992317,0.1463315326055504,8,1,True,+,0.5243522093991024
ENSMUSG00000000093-B,Prostaglandin,,,1,0.5,0.6666666666666667,3,,,2,0.6377481392176932,0.1730711102412597,6,1,True,+,0.5547012826907814
ENSMUSG00000000093-B,Suberic acid,,,2,0.5,0.6666666666666667,3,0.4285714285714286,0.3965014577259474,6,0.1735159817351598,0.609891620275172,11,2,True,+,0.8048809618863683
ENSMUSG00000000093-B,Sulindac,,,0,,,2,0.5,0.6666666666666667,3,0.7999999999999999,0.1040880386618278,5,1,True,+,0.45902724339066364
ENSMUSG00000000093-B,Supraene,,,2,,,2,0.1999999999999999,0.747060078104662,5,0.5272012675161055,0.1446993321338617,9,1,True,+,0.5215625706991859
ENSMUSG00000000093-B,Synephrine,0.5,0.6666666666666667,3,0.8660254037844387,0.3333333333333332,3,0.7826908981308054,0.065703848071589,6,0.5975404658697732,0.0401877610138385,12,3,True,+,0.3402039359895913
ENSMUSG00000000093-B,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,,0,,,0,0.1999999999999999,0.8,4,0.1999999999999999,0.8,4,1,True,+,0.8776746709950479
ENSMUSG00000000093-B,Thymol,0.5,0.6666666666666667,3,,,2,0.6668859288553501,0.2188939813132316,5,0.1219534866638208,0.7371590938066886,10,2,True,+,0.8473862278275962
ENSMUSG00000000093-B,Trimethylolpropane,,,1,,,2,0.0512989176042577,0.934712848108234,5,0.5060608273474739,0.2006906961272415,8,1,True,+,0.5559143836593106
ENSMUSG00000000093-B,Tromethamine,,,1,,,2,0.6,0.2847569798652937,5,0.5269555552418339,0.1796289671569267,8,1,True,+,0.5551597317372179
ENSMUSG00000000093-B,Uracil,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.4058397249567139,0.4246625075613645,6,0.218311212506752,0.4954585784680111,12,3,True,+,0.7619029044940547
ENSMUSG00000000093-B,Vanillylmandelic acid,,,0,0.5,0.6666666666666667,3,0.3999999999999999,0.5046315754686911,5,0.2857142857142857,0.4927262450169573,8,2,True,+,0.7583677325439929
ENSMUSG00000000093-B,Xylazine,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.7142857142857143,0.1107871720116617,6,0.6936662719972606,0.0123490081068468,12,3,True,+,0.20200784823542445
ENSMUSG00000000093-B,Yangonin,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.6377481392176932,0.1730711102412597,6,0.2640861441613936,0.4068648143749126,12,3,True,+,0.6960326588597598
ENSMUSG00000000384-B,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.3478626213914691,0.4992532181146331,6,-0.3309941231458794,0.2932980630283331,12,3,True,-,0.6305585281028193
ENSMUSG00000000384-B,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,,2,-0.5,0.6666666666666667,3,-0.3142857142857143,0.5440932944606414,6,-0.3234632537805257,0.3318900645806114,11,2,True,-,0.6499831138129007
ENSMUSG00000000384-B,1-(Cyclohexylmethyl)-4-piperidinylamine,,,2,,,2,-0.7,0.1881204043741872,5,-0.0333333333333333,0.932156735540504,9,1,True,-,0.9557194966951251
ENSMUSG00000000384-B,"13-Docosenamide, (Z)",,,0,,,0,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,1,True,-,0.8048809618863683
ENSMUSG00000000384-B,"1-Heptanol, 2-propyl-",,,0,,,0,0.0289885517826224,0.9565293523898406,6,0.0289885517826224,0.9565293523898406,6,1,True,+,0.9678730334349546
ENSMUSG00000000384-B,1-Octadecanol,,,1,,,2,0.4999999999999999,0.3910022189557705,5,0.1666666666666667,0.693238811728395,8,1,True,+,0.8212023247691691
ENSMUSG00000000384-B,"2,4-Di-tert-butylphenol",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,,,1,-0.5045249791095131,0.2482031142645109,7,2,True,-,0.6024543836997356
ENSMUSG00000000384-B,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",,,2,,,2,0.7714285714285715,0.0723965014577259,6,0.2969696969696969,0.4047016712701569,10,1,True,+,0.6939185144340897
ENSMUSG00000000384-B,"2,5-Dimethoxybenzhydrazide",,,2,-0.5,0.6666666666666667,3,-0.5428571428571429,0.2657026239067055,6,-0.5694775594727565,0.0674433573167783,11,2,True,-,0.4085096826097163
ENSMUSG00000000384-B,"2',5'-Dimethoxypropiophenone",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.4857142857142857,0.3287230320699709,6,-0.5148869542286845,0.0867182974439261,12,3,True,-,0.4403642091308184
ENSMUSG00000000384-B,"2-Allyl-1,4-dimethoxybenzene",-0.5,0.6666666666666667,3,-0.8660254037844387,0.3333333333333332,3,-0.2,0.704,6,-0.4507154017305592,0.1414253877029108,12,3,True,-,0.5160252304642058
ENSMUSG00000000384-B,"2-Butene-1,4-diol",,,0,,,2,0.6000000000000001,0.3999999999999999,4,0.8406680016960503,0.0360575728451592,6,1,True,+,0.3293054324827121
ENSMUSG00000000384-B,2-Butenedioic acid,,,2,-1.0,0.0,3,-0.3714285714285715,0.4684781341107871,6,-0.0136674614273461,0.9681862209072394,11,2,True,-,0.974846949048143
ENSMUSG00000000384-B,"2-Cyclohexen-1-one, 3-methyl-",-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.6,0.2079999999999998,6,-0.168126352401203,0.6014537771328919,12,3,True,-,0.8048809618863683
ENSMUSG00000000384-B,2-Ethyl-1-butanol,,,0,,,2,0.5,0.6666666666666667,3,0.3,0.6238376647810728,5,1,True,+,0.8048809618863683
ENSMUSG00000000384-B,2-Hexanol,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.632455532033676,0.367544467966324,4,-0.4498501023232477,0.1920756967225873,10,3,True,-,0.5551597317372179
ENSMUSG00000000384-B,2-Hydroxy-3-methylbutyric acid,,,2,-0.5,0.6666666666666667,3,-0.2571428571428572,0.6227871720116618,6,-0.1184513323703333,0.7286875040111365,11,2,True,-,0.843041207858103
ENSMUSG00000000384-B,2-Methyl-3-pentanol,,,0,,,2,-0.3999999999999999,0.5046315754686911,5,-0.6071428571428572,0.1482311614811614,7,1,True,-,0.5260176885528592
