n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent
2-Amino-4-methylbenzophenone,"5-Nonanol, tert-butyldimethylsilyl ether",-1.0,0.0,3,-0.7,0.1881204043741872,5,-0.1538967528127731,0.8048288166080632,5,-0.3581280806895405,0.2295531106552257,13,3,True
2-Amino-4-methylbenzophenone,5-Oxohexanoic Acid,0.5,0.6666666666666667,3,-0.6155870112510925,0.2689977701158222,5,-0.1538967528127731,0.8048288166080632,5,-0.1955930286842875,0.5219160396930226,13,3,False
2-Amino-4-methylbenzophenone,"6,7,4'-Trihydroxyisoflavone",-0.5,0.6666666666666667,3,-0.7,0.1881204043741872,5,0.5642880936468347,0.3217233358243002,5,-0.2283358418705027,0.4530613463425497,13,3,False
2-Amino-4-methylbenzophenone,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",0.8660254037844387,0.3333333333333332,3,-0.8720815992723809,0.0538542177275421,5,1.0,0.0,3,-0.1968009761522924,0.5619168150304759,11,3,False
2-Amino-4-methylbenzophenone,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",,,0,0.632455532033676,0.367544467966324,4,1.0,0.0,3,0.6626987024788349,0.0733058233083765,8,2,True
2-Amino-4-methylbenzophenone,6-Methyluracil,-1.0,0.0,3,-0.7,0.1881204043741872,5,-0.8720815992723809,0.0538542177275421,5,-0.832661682048394,0.000410971105357,13,3,True
2-Amino-4-methylbenzophenone,6-Oxoheptanoic acid,-0.8660254037844387,0.3333333333333332,3,-0.6668859288553501,0.2188939813132316,5,0.6,0.2847569798652937,5,-0.12983623572581,0.6724708433286484,13,3,False
2-Amino-4-methylbenzophenone,8-Methylnonanoic acid,-1.0,0.0,3,-0.7,0.1881204043741872,5,0.5642880936468347,0.3217233358243002,5,-0.1404964008858967,0.6470908508048597,13,3,False
2-Amino-4-methylbenzophenone,Acetic acid,0.8660254037844387,0.3333333333333332,3,-0.6708203932499368,0.21516994256955,5,0.2886751345948128,0.6376180914006018,5,-0.1435423129408036,0.6399017449872295,13,3,False
2-Amino-4-methylbenzophenone,Aceturic acid,0.5,0.6666666666666667,3,0.0,1.0,4,0.8999999999999998,0.0373860734684987,5,0.2797202797202798,0.378568669662303,12,3,False
2-Amino-4-methylbenzophenone,Aconitic acid,0.5,0.6666666666666667,3,0.7181848464596079,0.1717953049079889,5,0.4103913408340616,0.4925357817027975,5,0.4917202118977485,0.0878802190129547,13,3,True
2-Amino-4-methylbenzophenone,Adenine,,,0,-0.8999999999999998,0.0373860734684987,5,0.3999999999999999,0.5046315754686911,5,-0.4236913042477308,0.1940885545139986,11,2,False
2-Amino-4-methylbenzophenone,alpha-Hydroxyisobutyric acid,,,0,-0.5,0.6666666666666667,3,0.6,0.2847569798652937,5,-0.1666666666666667,0.693238811728395,8,2,False
2-Amino-4-methylbenzophenone,Allylescaline,1.0,0.0,3,0.0512989176042577,0.934712848108234,5,0.7905694150420948,0.1113671547140838,5,0.22990961678601,0.449867352280321,13,3,True
2-Amino-4-methylbenzophenone,Aniline,-0.5,0.6666666666666667,3,-0.7,0.1881204043741872,5,0.8999999999999998,0.0373860734684987,5,0.1572427255082877,0.6079292395803791,13,3,False
2-Amino-4-methylbenzophenone,Azelaic acid,-0.5,0.6666666666666667,3,-0.6,0.2847569798652937,5,0.9746794344808964,0.0048182304681985,5,-0.3057862842810693,0.3096078196362005,13,3,False
2-Amino-4-methylbenzophenone,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,0.7071067811865475,0.1816901138162092,5,0.2886751345948128,0.6376180914006018,5,0.1336306209562122,0.6633987735708269,13,3,True
2-Amino-4-methylbenzophenone,"Benzene, 1,4-dimethoxy",0.8660254037844387,0.3333333333333332,3,0.0512989176042577,0.934712848108234,5,0.6,0.2847569798652937,5,0.2382353732528866,0.4331536112741333,13,3,True
2-Amino-4-methylbenzophenone,Benzenepropanoic acid,-1.0,0.0,3,0.6,0.2847569798652937,5,0.8720815992723809,0.0538542177275421,5,0.4398445430089522,0.1325807533230586,13,3,False
2-Amino-4-methylbenzophenone,"Benzenesulfonamide, N-butyl",-1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,0.3590924232298039,0.5528147466433505,5,-0.2534444878725979,0.4034350731422543,13,3,False
2-Amino-4-methylbenzophenone,"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester ",1.0,0.0,3,-0.0999999999999999,0.8728885715695383,5,-0.3,0.6238376647810728,5,0.0220386511193563,0.9430297417421803,13,3,False
2-Amino-4-methylbenzophenone,"Benzoic acid, methyl ester",1.0,0.0,3,0.0999999999999999,0.8728885715695383,5,0.7,0.1881204043741872,5,0.1485558489277969,0.62813157582711,13,3,True
2-Amino-4-methylbenzophenone,Benzoic Acid,0.0,1.0,3,0.5642880936468347,0.3217233358243002,5,-0.6668859288553501,0.2188939813132316,5,-0.0768622729637508,0.8029161594985301,13,3,False
2-Amino-4-methylbenzophenone,Benzophenone,,,0,-0.9746794344808964,0.0048182304681985,5,0.6,0.2847569798652937,5,0.0492969970642799,0.8790754104005534,12,2,False
2-Amino-4-methylbenzophenone,Benzyl alcohol,-0.5,0.6666666666666667,3,-0.6,0.2847569798652937,5,-0.3,0.6238376647810728,5,-0.7200061641695281,0.0055142636168079,13,3,True
