n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,edge_dir,Pooled FDR
1-Octadecanol,2-Butoxyethanol,,,0,1,0,3,0.6,0.28475698,5,0.840365807,0.004561189,9,2,TRUE,+,1,0.048027375
1-Octadecanol,2-Decanol,,,0,1,0,3,0.8,0.2,4,0.928571429,0.002519472,7,2,TRUE,+,1,0.035448074
1-Octadecanol,"2-Methylcyclohexanol, (Z)",,,0,1,0,3,0.9,0.037386073,5,0.848769465,0.003807429,9,2,TRUE,+,1,0.043738779
1-Octadecanol,2-Pentadecanone,,,0,1,0,3,0.894427191,0.040519326,5,0.949288905,9.20E-05,9,2,TRUE,+,1,0.005010773
1-Octadecanol,"3,5-Dimethylphenol",,,0,1,0,3,0.8,0.2,4,0.904761905,0.002008276,8,2,TRUE,+,1,0.030756441
1-Octadecanol,3-Buten-2-one,,,0,1,0,3,0.9,0.037386073,5,0.9,0.000943062,9,2,TRUE,+,1,0.019244443
1-Octadecanol,"5-Nonanol, tert-butyldimethylsilyl ether",,,0,1,0,3,0.737864787,0.154618523,5,0.899191413,0.000969232,9,2,TRUE,+,1,0.019571901
1-Octadecanol,Adenine,,,0,1,0,3,0.8,0.104088039,5,0.853563957,0.003418215,9,2,TRUE,+,1,0.041453882
1-Octadecanol,"Benzenesulfonamide, N-butyl",,,0,1,0,3,0.718184846,0.171795305,5,0.912141876,0.000606851,9,2,TRUE,+,1,0.015139946
1-Octadecanol,Citramalic acid,,,0,1,0,3,0.948683298,0.051316702,4,0.946124747,0.000375312,8,2,TRUE,+,1,0.011250628
1-Octadecanol,"Cytosine, N-(tert-butyldimethylsilyl)-",,,0,1,0,3,0.8,0.104088039,5,0.916666667,0.000506619,9,2,TRUE,+,1,0.013464577
1-Octadecanol,Diacetyl monoxime,,,0,1,0,3,0.8,0.104088039,5,0.836827409,0.004907015,9,2,TRUE,+,1,0.049713716
1-Octadecanol,"Dodecanoic acid, 1-methylethyl ester",,,0,1,0,3,0.8,0.104088039,5,0.953983246,6.58E-05,9,2,TRUE,+,1,0.004136666
1-Octadecanol,Hexacosanoic acid,,,0,1,0,3,0.410391341,0.492535782,5,0.840365807,0.004561189,9,2,TRUE,+,1,0.048027375
1-Octadecanol,Isopropyl palmitate,,,0,1,0,3,0.718184846,0.171795305,5,0.907595071,0.000720766,9,2,TRUE,+,1,0.016640016
1-Octadecanol,L-Alanine,,,0,1,0,3,0.872081599,0.053854218,5,0.96235152,3.29E-05,9,2,TRUE,+,1,0.002732561
1-Octadecanol,L-Glutamine,,,0,1,0,3,0.7,0.188120404,5,0.883333333,0.0015905,9,2,TRUE,+,1,0.02709456
1-Octadecanol,Malic acid,,,0,1,0,3,0.7,0.188120404,5,0.861932231,0.002805929,9,2,TRUE,+,1,0.036781449
1-Octadecanol,Niacin,,,0,1,0,3,0.6,0.4,4,0.904761905,0.002008276,8,2,TRUE,+,1,0.030756441
1-Octadecanol,Norketamine,,,0,1,0,3,0.564288094,0.321723336,5,0.840365807,0.004561189,9,2,TRUE,+,1,0.048027375
1-Octadecanol,"Propanoic acid, dimethyl(isopropyl)silyl ester",,,0,1,0,3,0.8,0.104088039,5,0.845195683,0.004116597,9,2,TRUE,+,1,0.045352941
1-Octadecanol,Thymol,,,0,1,0,3,0.820782682,0.088587005,5,0.912141876,0.000606851,9,2,TRUE,+,1,0.015139946
1-Octadecanol,Vanillylmandelic acid,,,0,1,0,3,0.7,0.188120404,5,0.904761905,0.002008276,8,2,TRUE,+,1,0.030756441
"1-Octanol, 2-butyl-",3-Amino-5-methylisoxazole,,,0,0.974679434,0.00481823,5,0.500216403,0.312256581,6,0.836565097,0.000363814,13,2,TRUE,+,1,0.011121484
"1-Octanol, 2-butyl-",N-Ethylamphetamine,0.5,0.666666667,3,0.866025404,0.333333333,3,0.552300326,0.255785155,6,0.770318021,0.003372707,12,3,TRUE,+,1,0.041453882
"1-Octanol, 2-butyl-",Octanoic acid,,,0,0.8,0.2,4,0.948683298,0.051316702,4,0.946124747,0.000375312,8,2,TRUE,+,1,0.011250628
"2(5H)-Furanone, 4-(hydroxymethyl)","2,4-Imidazolidinedione, 5,5-dimethyl",-0.5,0.666666667,3,-0.359092423,0.552814747,5,-0.794117647,0.059217891,6,-0.770166216,0.001270295,14,3,TRUE,-,-1,0.023559862
"2(5H)-Furanone, 4-(hydroxymethyl)",6-Methyluracil,-0.5,0.666666667,3,-0.359092423,0.552814747,5,-0.794117647,0.059217891,6,-0.70621537,0.00475749,14,3,TRUE,-,-1,0.049116116
"2(5H)-Furanone, 4-(hydroxymethyl)",Diethylamine,0.5,0.666666667,3,0.666885929,0.218893981,5,0.794117647,0.059217891,6,0.751655629,0.001935368,14,3,TRUE,+,1,0.030299878
"2(5H)-Furanone, 4-(hydroxymethyl)","D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",1,0,3,0.316227766,0.683772234,4,0.779411765,0.067621934,6,0.834254144,0.000391181,13,3,TRUE,+,1,0.011561846
"2(5H)-Furanone, 4-(hydroxymethyl)","Hymexazole, tert-butyldimethylsilyl ether",-0.5,0.666666667,3,-0.359092423,0.552814747,5,-0.81167945,0.049857585,6,-0.719956336,0.003689244,14,3,TRUE,-,-1,0.043234395
"2(5H)-Furanone, 4-(hydroxymethyl)",Isobutanol,1,0,3,0.5,0.5,4,0.753702346,0.083523281,6,0.790055249,0.001311119,13,3,TRUE,+,1,0.024018786
