ID,LPS_934_150124,LPS_935_150124,LPS_936_150124,LPS_939_150124,LPS_940_150124,LPS_941_150124,LPS_942_150124
GROUP,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,,12.524708235516822,13.24994391641516,,14.323379159951227,11.56313048544034,14.649709839227793
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",,3.1640226569856056,5.811666046257568,5.594142138193013,,,
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",,,,,,,15.656157307704538
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,8.148861193697549,4.800901566367903,7.945928238962559,7.241913292508812,7.717641761263741,6.726464603125888,4.995198132140386
"2-Allyl-1,4-dimethoxybenzene",13.130604796863784,12.46284164078222,12.880164910288897,12.670912522341862,12.880164910288897,12.524708235516822,11.970486105124227
2-Amino-4-methylphenol,20.476145490187097,15.870275691440584,17.192537340007878,18.958301595411704,18.652520378910733,16.995291158114238,16.52587564338855
"2-Amino-4,6-dihydroxypyrimidine",17.424012195600348,17.99169803078585,18.1669213473799,17.74637558667478,17.344185455509496,17.7034182178291,17.625824872359566
2-Aminoadipic acid,,,17.651854657170954,16.135183810139637,,,16.962575204698542
2-Aminobutanoic acid,,,,18.46109878691888,,,
2-Butenedioic acid,23.576912828524463,22.949530909238465,24.726713982692264,23.170186693268388,22.74862958605763,21.49828288184139,23.118306937273076
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",,,,,,,
2-Ethyl-3-hydroxypropionic acid,13.847040903425738,13.065204093726635,13.567653665524352,13.567653665524352,13.675307306177306,13.8911681480212,13.847040903425738
2-Furoic acid,,,,12.961931449480753,,,
"2-Heptanone, 4,6-dimethyl-",,,,,,,
2-Heptenoic acid,13.969241709863779,13.176874231742685,13.374205489936509,13.528209117087597,13.498297803351107,,14.228627663913358
2-Hexen-1-ol,19.334680948623113,19.12605093276672,19.020461548250317,19.334680948623113,18.774204760741473,19.159085421600906,19.257374789771422
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",10.570147999266855,8.318873123777852,9.454993044065306,9.970680084656836,10.201537719629377,9.970680084656836,10.034935893215566
2-Hydroxy-2-methylbutyric acid,16.421620061468055,16.02146807781511,15.961734109039453,15.656157307704538,15.766068583191366,15.604345428122016,15.604345428122016
2-Hydroxy-3-methylbutyric acid,23.06320848115337,23.576912828524463,24.031064574203747,,,,23.671892126953985
2-Hydroxy-5-methoxybenzaldehyde,22.281792559093713,22.06635124387974,21.94867132515933,21.90533835374844,21.793981746731827,22.193443929180415,22.22411493191526
2-Hydroxybutyric acid,19.05888281163362,18.99188169085507,18.106264493909755,,18.369039963068985,18.652520378910733,
2-Imidazolidinone,,,,,,,
2-Isopropyl-5-methyl-1-heptanol ,,19.020461548250317,,,,,
2-Ketoisocaproic acid,15.575160493231738,14.943682147714723,15.269004118999842,15.219588933078839,15.312547505559673,15.23532520905947,
2-Methyl-4-pentenoic acid,12.670912522341862,11.970486105124227,12.670912522341862,12.416306253809509,,12.834100885273674,14.292486862368166
2-Methyl-E-7-hexadecene,,,,,,,12.932390640462112
2-Methylglutaconic acid,19.08619115783686,18.774204760741473,19.66436045020822,19.711499116990446,18.668616033482547,19.890260881942794,19.12605093276672
2-Naphthol,16.87752785698289,16.386809500613243,16.637119023946678,16.29914497978906,16.61451919311857,16.24231347995814,17.04383956021415
2-Oxooctanoic acid,,,,,,18.479534448670165,
"2-Pentenedioic acid, 3-methyl-",,,11.27615080371497,,11.82871777633233,,
2-Pentenoic acid,,24.09133707455474,24.42084268251031,,,22.59839386212323,24.726713982692264
2-Piperidinone,,17.273225108573627,17.344185455509496,,,,
"2-Propanone, bis(1-methylethyl)hydrazone",,,,,21.582656213233918,,
"2-Propenamide, 3-phenyl-N-2-propenyl-",18.106264493909755,,18.958301595411704,17.882155419216044,,18.25980209766154,18.298549645071528
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",,,,,,,
"2-Propenoic acid, 2,3,3-tris[(trimethylsilyl)oxy]-",,,,,,,
2-Pyrrolidinone,18.479534448670165,18.25980209766154,18.25980209766154,18.45474498781332,18.0904885621857,18.421033656025397,18.479534448670165
2-Trimethylsilyloxysebacic acid,,,,,,,0.36643840300551084
"2,2-Diallylpyrrolidine",14.69416442741775,16.24231347995814,17.099234784956774,,14.46552012907279,17.099234784956774,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",11.27615080371497,9.970680084656836,10.424758042576567,10.963885692473108,11.27615080371497,11.071132093328854,11.135592306661934
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",,18.143837074478526,17.99169803078585,17.53836835873985,,,16.29914497978906
"2,2'-Biphenyldiol",,,,,,,
"2,3-Butanediol",19.786825981516905,20.141901696362545,19.609109182993645,20.004218593953787,19.66436045020822,20.004218593953787,19.877294583887057
"2,3,4-Trihydroxybutyric acid tetrakis",12.794082492199616,12.483235929338054,12.794082492199616,12.794082492199616,12.834100885273674,13.130604796863784,11.788039969774754
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",18.1669213473799,,,,19.824517331307465,20.432871813708882,
"2,4-Decadienal",14.86285571053221,13.969241709863779,14.348494531108996,17.11418377323917,16.995291158114238,17.13368947083091,17.230369448974894
"2,4-Diamino-6,7-dimethylpteridine",17.781731687172464,17.625824872359566,17.74637558667478,15.870275691440584,17.53836835873985,17.344185455509496,17.92470913247229
"2,4-Imidazolidinedione, 5,5-dimethyl-",,12.042568691533763,,,14.348494531108996,14.25376461166215,14.552060430703763
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",18.58583938778719,18.298549645071528,18.421033656025397,18.1669213473799,17.92470913247229,17.92470913247229,18.53389624634634
"2,5-di-tert-Butyl-1,4-benzoquinone",13.011469134345955,,,,15.446974421536046,11.613792463874047,
"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",24.14751377517706,24.14751377517706,24.296055755975264,24.14751377517706,24.635610917841905,24.635610917841905,24.635610917841905
"2,5-Di-tert-butylhydroquinone",21.107926350089425,20.352665999029732,,20.476145490187097,,,20.352665999029732
"2,5-Dimethoxy-4-(n)-propylphenethylamine",,,,22.72035035412313,19.877294583887057,,
"2,5-Dimethoxy-4-methylamphetamine",30.061915977945777,30.061915977945777,30.061915977945777,29.61947145870131,29.07399956066379,29.23835207198618,29.07399956066379
"2,5-Dimethoxybenzhydrazide",20.558454426238985,20.12075340117764,20.244443236485743,19.941210036444026,19.91473136247499,19.824517331307465,19.786825981516905
"2,5-Dimethoxybenzonitrile",20.95862660177104,,,18.668616033482547,,19.399512994491182,19.334680948623113
"2,5-Dimethoxymandelic acid",14.013071079710107,10.83017029097528,13.011469134345955,9.721954700004332,,12.725160801769642,13.0414810573932
"2,5-Dimethoxyphenol",22.796146442761806,22.796146442761806,22.796146442761806,22.659314467959568,22.281792559093713,22.72035035412313,22.72035035412313
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",19.890260881942794,,20.70652403918444,,19.786825981516905,,
"2,5-Piperazinedione, 3-(phenylmethyl)-",,22.84098617702293,,,22.659314467959568,,
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",10.872061735111837,9.454993044065306,10.288454557177756,10.660266727465133,11.040828388510004,10.83017029097528,10.736756735988731
"2,5-Piperazinedione, 3-methyl-6-(phenylmethyl)-",,17.230369448974894,17.144878353218385,,,17.625824872359566,17.810896215815806
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",5.594142138193013,0.8469290440842931,,3.1640226569856056,5.594142138193013,3.7875085471738266,1.8715472860133577
"2,6-Dimethoxybenzylamine",20.432871813708882,,,20.09036378469853,,,
"2,6-Dimethoxyhydroquinone",,,,,,,
