n1,n2,edge_dir
2-Butoxyethanol,Iminodiacetic acid,1
Benzophenone,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",1
Benzophenone,2-Hydroxy-3-methylbutyric acid,1
Benzophenone,Frangulin,1
Iminodiacetic acid,N-Caffeoyl-O-methyltyramine,1
Iminodiacetic acid,Suberic acid,1
2-Ethylhexanoic acid,N-Acetylaspartic acid,1
2-Ethylhexanoic acid,Pentanoic acid,1
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",2-Hydroxy-3-methylbutyric acid,1
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",Butachlor ESA,1
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",L-Tryptophan,1
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",Suberic acid,1
2-Hydroxy-3-methylbutyric acid,Butachlor ESA,1
2-Hydroxy-3-methylbutyric acid,DL-p-Hydroxyphenyllactic acid,1
2-Hydroxy-3-methylbutyric acid,Frangulin,1
2-Hydroxy-3-methylbutyric acid,Suberic acid,1
Butachlor ESA,5-Azacytosine,1
Butachlor ESA,Isopropylamine,-1
L-Tryptophan,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",1
L-Tryptophan,Heptylamine,1
Suberic acid,4-Oxohexanoic acid,1
DL-p-Hydroxyphenyllactic acid,Aniline,1
Myristic acid,Pipecolic acid,1
2-Naphthol,Heptylamine,1
Uracil,Cholesterol,1
"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",Tetrahydro-solasodine triacetate,1
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",Phenoxyethanol,-1
Benzyl alcohol,Dodecanoic acid,1
Hexanoic acid,Formamide,1
Cholesterol,"N,N-Dimethyl-2-aminoethanol",1
"2,4-Di-tert-butylphenol",Pold1,-1
Zfp768,"2,4-Di-tert-butylphenol",-1
"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",Zfp768,-1
"2-Cyclohexen-1-one, 3-methyl-",Glod4,1
2-Methyl-3-pentanol,"2-Cyclohexen-1-one, 3-methyl-",1
Hydracrylic acid,"2-Cyclohexen-1-one, 3-methyl-",1
3-Heptanol,Emd,1
Smc4,3-Heptanol,-1
"3,4-Methylenedioxyamphetamine",3-Heptanol,1
4-Methoxyphenol,Smurf1,1
2-Ethylhexanoic acid,4-Methoxyphenol,-1
Benzenepropanoic acid,4-Methoxyphenol,-1
Azelaic acid,Mfge8,-1
Hk1,Azelaic acid,-1
Ilvbl,Azelaic acid,-1
Glycine,Wdr6,-1
"Glycine, tert.-butyldimethylsilyl ester",Wdr6,-1
Hypoxanthine,Lrp2bp,-1
Lignoceric acid,Sec62,-1
Lrrc8c,Lignoceric acid,-1
Pipecolic acid,Lignoceric acid,1
Suberic acid,Lignoceric acid,1
L-Tyrosine,Gpsm3,1
N-Acetyl-L-alanine,Kmt5b,-1
Guanosine,N-Acetyl-L-alanine,-1
N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,Krt23,-1
Diethylamine,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,1
Heptylamine,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,1
Hexacosanoic acid,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,1
N-Caffeoyl-O-methyltyramine,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,1
Suberic acid,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,1
Nonanoic acid,Pi4ka,1
Oleamide,Rif1,-1
"2-Allyl-1,4-dimethoxybenzene","Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",1
Propylene glycol,Imp3,-1
3-Buten-2-one,Propylene glycol,1
Salsoline,Bcl7a,-1
2-Propyl-1-pentanol,"(2,5-Dimethoxyphenyl)acetone",1
Hexacosanoic acid,"(2,5-Dimethoxyphenyl)acetone",1
2-Naphthol,Hexacosanoic acid,1
"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",Hexacosanoic acid,1
Curcumin,Hexacosanoic acid,1
Frangulin,Hexacosanoic acid,1
Glycerol,Hexacosanoic acid,1
Niacin,Hexacosanoic acid,1
Norketamine,Hexacosanoic acid,1
Yangonin,Hexacosanoic acid,1
"Erythrono-1,4-lactone","1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",1
Mevalonolactone,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",1
"3,4-Methylenedioxyamphetamine",Mevalonolactone,-1
Butyric Acid,"1-(2,4-Dimethoxyphenyl)-propan-2-one",1
Hexanoic acid,Butyric Acid,1
Phenoxyethanol,Butyric Acid,1
"2,4-Imidazolidinedione, 5,5-dimethyl","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1
"2,5-Dimethoxybenzhydrazide","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",1
"2',5'-Dimethoxypropiophenone","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",1
2-Amino-4-methylbenzophenone,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",1
6-Methyluracil,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1
Aconitic acid,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",1
"Hymexazole, tert-butyldimethylsilyl ether","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1
